"interview__key","y5_hhid","hh_b1b14","ag2a_11","ag10_01"
"42-43-09-21","1021-001-01",,,
"67-34-56-15","1023-001-01",,,
"49-38-79-42","1025-001-02",1,1,1
"31-48-95-02","1155-001-01",1,2,2
"44-29-24-03","1239-001-02",,,
"25-84-63-25","1476-001-01",,,
"64-13-92-40","1478-001-01",,,
"42-63-63-44","1486-001-02",,,
"79-19-49-95","1532-001-01",,,
"71-54-30-18","1553-001-01",,,
"54-10-69-38","1733-001-01",1,2,2
"25-26-68-89","1743-001-01",,,
"42-29-89-48","1801-001-04",1,1,1
"76-08-90-56","1802-001-01",1,1,1
"94-12-64-07","2064-001-01",2,1,2
"17-99-58-67","2065-001-01",2,1,1
"66-38-93-89","2067-001-01",2,1,2
"13-66-67-95","2072-001-01",1,1,1
"82-49-19-23","2159-001-01",1,1,1
"40-34-16-23","2159-001-04",1,1,2
"43-91-81-40","2161-001-03",1,1,1
"92-29-28-06","2162-001-01",2,1,2
"50-12-34-35","2197-001-01",1,1,1
"77-31-17-49","2199-001-03",1,1,1
"99-10-27-02","2200-001-03",1,1,1
"89-10-69-31","2202-001-01",2,1,1
"56-10-08-70","2204-001-01",2,1,1
"59-53-21-47","2204-001-04",,,
"00-11-58-55","2236-001-02",1,1,1
"53-95-94-12","2254-001-01",2,1,1
"79-86-31-64","2256-001-03",1,1,1
"30-93-95-65","2257-001-01",1,1,1
"14-19-73-23","2258-001-01",1,1,2
"80-56-51-76","2259-001-01",1,1,2
"16-88-52-77","2260-001-01",2,1,2
"68-67-25-54","2482-001-01",1,1,1
"84-22-10-90","2483-001-01",1,1,1
"84-15-81-24","2484-001-01",1,1,1
"81-42-62-10","2485-001-01",1,1,1
"98-07-44-47","2486-001-01",1,1,1
"47-67-96-08","2486-001-02",1,1,1
"47-84-06-54","2487-001-01",1,2,1
"87-80-88-84","2577-001-01",2,1,1
"31-12-34-48","2578-001-01",1,1,1
"50-89-79-36","2578-001-04",1,1,1
"35-12-71-00","2578-001-05",,,
"57-34-90-34","2579-001-01",1,1,1
"36-00-34-17","2581-001-01",2,1,1
"19-69-36-16","2582-001-01",1,1,1
"81-90-64-93","2582-001-02",1,1,1
"67-65-66-59","2584-001-01",1,1,1
"53-64-62-37","2617-001-01",,,
"56-82-25-56","2750-001-02",1,2,2
"27-89-89-48","2751-001-02",1,2,1
"67-58-37-56","2825-001-02",,,
"21-09-62-82","2826-001-01",,,
"80-05-91-63","2829-001-03",,,
"54-69-14-26","2834-001-01",1,1,2
"55-34-29-76","2834-001-02",,,
"98-72-24-88","2938-001-08",1,1,1
"36-05-18-27","3019-001-01",1,1,2
"99-98-16-42","3020-001-04",1,1,2
"76-23-29-95","3022-001-01",1,2,2
"39-36-43-12","3040-001-01",2,1,2
"72-68-04-92","3042-001-01",1,2,2
"83-83-97-84","3074-001-04",1,1,2
"15-55-05-96","3113-001-01",,,
"65-60-93-93","3114-001-01",2,2,1
"40-18-89-32","3116-001-01",2,1,2
"69-54-28-67","3117-001-01",1,1,1
"65-17-44-64","3131-001-06",,,
"82-38-31-49","3135-001-01",2,,
"02-50-88-11","3185-001-01",1,2,1
"76-50-08-94","3186-001-01",2,2,1
"78-32-84-41","3187-001-01",1,2,1
