"interview__key","y5_hhid","cropid","ag10_02_1","ag10_02_2","ag10_02_3","ag10_03","ag10_02_2a","ag10_02_2b","ag10_02_2c","ag10_02_2d","ag10_02_2e","ag10_02_2f","ag10_02_2g","ag10_02_2h","ag10_02_2i","ag10_02_2j","ag10_04_1","ag10_04_2","ag10_05","ag10_06","ag10_07_1","ag10_07_2","ag10_08","ag10_09_1","ag10_09_2","ag10_10_1","ag10_10_2","ag10_11","ag10_12_1a","ag10_12_1b","ag10_12_2a","ag10_12_2b","ag10_13","ag10_14"
"39-26-37-98","1000-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,324,1,324,2,,,,,,,,,,,,,2,
"87-35-70-53","1002-001-01",1,"MAHINDI",11,1,1,11,41,,,,,,,,,360,1,360,2,,,,,,,,,,,,,1,36000
"87-35-70-53","1002-001-01",2,"ALIZETI",41,1,3,41,,,,,,,,,,20,2,75,2,,,,,,,,,,,,,1,12000
"87-35-70-53","1002-001-01",3,"MAHINDI",11,1,2,11,,,,,,,,,,120,1,240,2,,,,,,,,,,,,,1,24000
"87-35-70-53","1002-001-01",4,"PUMBA",11,2,9,11,,,,,,,,,,120,1,240,2,,,,,,,,,,,,,2,
"90-92-88-29","1003-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,900,1,920,2,,,,,,,,,,,,,1,10800
"90-92-88-29","1003-001-01",2,"ALIZETI",41,1,3,41,,,,,,,,,,7,2,80,2,,,,,,,,,,,,,2,
"16-34-22-80","1005-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,264,1,240,2,,,,,,,,,,,,,1,28800
"91-42-46-84","1009-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,648,1,648,2,,,,,,,,,,,,,1,54000
"49-38-79-42","1025-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,108,1,108,2,,,,,,,,,,,,,1,3000
"68-51-31-95","1058-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,245,1,350,2,,,,,,,,,,,,,1,22000
"68-51-31-95","1058-001-01",2,"MPUNGA",12,2,11,12,,,,,,,,,,105,1,350,2,,,,,,,,,,,,,2,
