"interview__key","y5_hhid","sourceid","ag12a_01_1","ag12a_01_2","ag12a_01_3","ag12a_01_4","ag12a_01_5","ag12a_01_6","ag12a_01_7","ag12a_01_8","ag12a_02","ag12a_03_1","ag12a_03_2","ag12a_03_3","ag12a_03_4","ag12a_04","ag12a_05","ag12a_06","ag12a_07"
"39-26-37-98","1000-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-26-37-98","1000-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-26-37-98","1000-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-26-37-98","1000-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"39-26-37-98","1000-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"69-87-77-12","1000-001-06",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"69-87-77-12","1000-001-06",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"69-87-77-12","1000-001-06",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"69-87-77-12","1000-001-06",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"69-87-77-12","1000-001-06",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"48-07-72-07","1001-001-01",1,2,2,2,2,2,2,2,2,2,,,,,,,,
"48-07-72-07","1001-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"48-07-72-07","1001-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"48-07-72-07","1001-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"48-07-72-07","1001-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
"87-35-70-53","1002-001-01",1,1,2,2,2,2,2,2,2,1,1,,,,1,2,,0
"87-35-70-53","1002-001-01",2,2,2,2,2,2,2,2,2,2,,,,,,,,
"87-35-70-53","1002-001-01",3,2,2,2,2,2,2,2,2,2,,,,,,,,
"87-35-70-53","1002-001-01",4,2,2,2,2,2,2,2,2,2,,,,,,,,
"87-35-70-53","1002-001-01",5,2,2,2,2,2,2,2,2,2,,,,,,,,
