"interview__key","y5_hhid","plot_id","plotname","plot_desc","prevplot_id","ag3a_02_1","ag3a_02_2","ag3a_02_3","ag3a_03","ag3a_04","ag3a_07","ag3a_08a_1","ag3a_08a_2","ag3a_08b_1","ag3a_08b_2","ag3a_08b_3","ag3a_08c1","ag3a_08c2","ag3a_09a_1","ag3a_09a_2","ag3a_09b_1","ag3a_09b_2","ag3a_09b_3","ag3a_09c1","ag3a_09c2","ag3a_10","ag3a_11","ag3a_12","ag3a_13","ag3a_14","ag3a_15","ag3a_16_1","ag3a_16_2","ag3a_17","ag3a_18","ag3a_19","ag3a_20","ag3a_21","ag3a_22","ag3a_23","ag3a_24","ag3a_25","ag3a_26_1","ag3a_26_2","ag3a_27","ag3a_28a","ag3a_28b","ag3a_28c","ag3a_28d","ag3a_29_1","ag3a_29_2","ag3a_30","ag3a_31_1","ag3a_31_2","ag3a_31a","ag3a_32_1","ag3a_32_2","ag3a_33","ag3a_34_1","ag3a_34_2","ag3a_35","ag3a_36_1","ag3a_36_2","ag3a_37_1","ag3a_37_2","ag3a_38","ag3a_38a","ag3a_39","ag3a_40","ag3a_41","ag3a_42","ag3a_43","ag3a_44","ag3a_45","ag3a_46_1","ag3a_46_2","ag3a_47","ag3a_48","ag3a_49","ag3a_51","ag3a_52","ag3a_53_1","ag3a_53_2","ag3a_54","ag3a_55","ag3a_56","ag3a_58","ag3a_59_1","ag3a_59_2","ag3a_60","ag3a_62_1","ag3a_62_2","ag3a_63","ag3a_64","ag3a_65_1","ag3a_65_2","ag3a_65a","ag3a_65b_1","ag3a_65b_2","ag3a_65c","ag3a_65d","ag3a_65e_1","ag3a_65e_2","ag3a_66","ag3a_67_1","ag3a_67_2","ag3a_67_3","ag3a_67_4","ag3a_68","ag3a_69","ag3a_70_1","ag3a_70_2","ag3a_71_1","ag3a_71_2","ag3a_71a","ag3a_71b","ag3a_72a","ag3a_72b_1","ag3a_72b_2","ag3a_72b_3","ag3a_72b_4","ag3a_72b_5","ag3a_72b_6","ag3a_72b_7","ag3a_72b_8","ag3a_72b_9","ag3a_72b_10","ag3a_72c_1","ag3a_72c_2","ag3a_72c_3","ag3a_72c_4","ag3a_72c_5","ag3a_72c_6","ag3a_72c_7","ag3a_72c_8","ag3a_72c_9","ag3a_72c_10","ag3a_72d_1","ag3a_72d_2","ag3a_72d_3","ag3a_72d_4","ag3a_72d_5","ag3a_72d_6","ag3a_72d_7","ag3a_72d_8","ag3a_72d_9","ag3a_72d_10","ag3a_72e","ag3a_72f_1","ag3a_72f_2","ag3a_72f_3","ag3a_72f_4","ag3a_72f_5","ag3a_72f_6","ag3a_72f_7","ag3a_72f_8","ag3a_72f_9","ag3a_72f_10","ag3a_72g_1","ag3a_72g_2","ag3a_72g_3","ag3a_72g_4","ag3a_72g_5","ag3a_72g_6","ag3a_72g_7","ag3a_72g_8","ag3a_72g_9","ag3a_72g_10","ag3a_72h_1","ag3a_72h_2","ag3a_72h_3","ag3a_72h_4","ag3a_72h_5","ag3a_72h_6","ag3a_72h_7","ag3a_72h_8","ag3a_72h_9","ag3a_72h_10","ag3a_72i","ag3a_72j_1","ag3a_72j_2","ag3a_72j_3","ag3a_72j_4","ag3a_72j_5","ag3a_72j_6","ag3a_72j_7","ag3a_72j_8","ag3a_72j_9","ag3a_72j_10","ag3a_72k_1","ag3a_72k_2","ag3a_72k_3","ag3a_72k_4","ag3a_72k_5","ag3a_72k_6","ag3a_72k_7","ag3a_72k_8","ag3a_72k_9","ag3a_72k_10","ag3a_72l_1","ag3a_72l_2","ag3a_72l_3","ag3a_72l_4","ag3a_72l_5","ag3a_72l_6","ag3a_72l_7","ag3a_72l_8","ag3a_72l_9","ag3a_72l_10","ag3a_73","ag3a_74_1a","ag3a_74_1b","ag3a_74_1c","ag3a_74_1d","ag3a_74_2a","ag3a_74_2b","ag3a_74_2c","ag3a_74_2d","ag3a_74_3a","ag3a_74_3b","ag3a_74_3c","ag3a_74_3d","ag3a_75","ag3a_76","ag3a_77","ag3a_78","ag3a_79","ag3a_80","ag3a_81","ag3a_82","ag3a_83","ag3a_84","ag3a_85"
"39-26-37-98","1000-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0.5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5000000,1,,,,3,2,,8,1,,1,1,,1,,,,,,,,,,,1969,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,3
"39-26-37-98","1000-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",2,1,4,1,,11,1,0,3,,,,,1,0,3,,,,,2,1,2,2,,2,,,1,2,,,,0,,10000000,1,,,,3,1,1,8,1,,2,,,,,,,,,,,,,,1969,2,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,1,1,2,10000,3,5,1,2,,,,,,,,,,,1,1,1,3,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,1,3,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,1,3,,,,,,,,,,10,,,,,,,,,,5,,,,,,,,,,1,1,1,0,0,0,2,0,20000,0,0,0,0,2,,,,,,2,,1,,3
"69-87-77-12","1000-001-06",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,0.5,0.5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7000000,7,,,,,,,8,,,,,,,,,0,,,1,2,2,1,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,6,
"48-07-72-07","1001-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,0,1,,11,1,0,1,,,,,1,0,1,,,,,2,1,2,1,2,2,,,2,2,,,,0,,30000000,1,,,,3,2,,8,1,,2,,,,,,,,,,,,,,1900,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,2,2,12000,3,16,1,2,,,,,,,2,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,,,,,3,3,3,,,,,,,,8,8,8,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"87-35-70-53","1002-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,4,1,,11,1,0,1,,,,,1,0,1,,,,,2,1,3,2,,2,,,1,2,,,,0,,12000000,1,,,,2,,,8,1,,1,1,,2,,,,,,,,,,,1958,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,2,2,24000,3,16,2,2,,,,,,,2,,,,,,,,,,,1,2,1,1,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,10,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,12,,,,,,,,,,1,0,3,0,15000,0,3,0,60000,0,9,0,165000,2,,,,,,2,,1,,3
"87-35-70-53","1002-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",0,0,4,1,,11,1,0,2,,,,,1,0,2,,,,,2,2,3,2,,2,,,1,2,,,,0,,15000000,1,,,,3,1,1,8,2,,1,1,,2,,,,,,,,,,,1961,2,1,1,1,300,2,,,,,2,,,,,,,,,,,,,1,2,2,24000,3,16,2,2,,,,,,,2,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,1,2,,,,,,,,,,2,,,,,,,,,,8,,,,,,,,,,1,0,1,0,20000,0,4,0,75000,0,4,0,160000,2,,,,,,2,,1,,3
"90-92-88-29","1003-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,2,1,,11,1,0,1,3,,,,1,0,1,3,,,,2,1,2,2,,2,,,2,2,,,,0,,6000000,1,,,,3,1,1,8,1,3,2,,,,,,,,,,,,,,1900,2,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,1,1,1,1,,,,,,,,,,14,,,,,,,,,,6,,,,,,,,,,1,1,3,,,,,,,,,14,14,,,,,,,,,6,6,,,,,,,,,1,1,,,,,,,,,,7,,,,,,,,,,8,,,,,,,,,,1,0,1,0,65000,0,2,0,0,0,0,0,0,2,,,,,,2,,1,,3
"16-34-22-80","1005-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,15,1,,11,1,0,1,2,,,,1,0,1,2,,,,4,2,2,1,2,2,,,2,2,,,,0,,2000000,1,,,,2,,,8,1,2,2,,,,,,,,,,,,,,2007,2,2,1,1,100,2,,,,,2,,,,,,,,,,,,,1,1,2,10000,3,16,1,2,,,,,,,2,,,,,,,,,,,2,1,1,1,2,,,,,,,,,2,2,,,,,,,,,10,10,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,4,4,,,,,,,,,3,3,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,5000,2,,,,,,1,11,,,
"16-34-22-80","1005-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,2,1,17,1,,31,1,0,1,2,,,,1,0,1,2,,,,4,2,2,2,,2,,,3,2,,,,0,,3000000,7,,,,,,,8,,,,,,,,,70000,1,2,1,6,1,1,2,,,1,1,2,,,,,,,2,,,,,,,,,,,,,1,1,2,10000,3,16,1,2,,,,,,,2,,,,,,,,,,,1,2,1,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,1,1,,,,,,,,,2,2,,,,,,,,,1,0,1,0,30000,0,0,0,0,0,0,0,0,2,,,,,,2,,2,6,
