"interview__key","y5_hhid","plot_id","cropid","ag4a_01","ag4a_02","ag4a_03","ag4a_04","ag4a_05","ag4a_06","ag4a_08","ag4a_10_1","ag4a_10_2","ag4a_10a_1","ag4a_10a_2","ag4a_10b","ag4a_10c_1","ag4a_10c_2","ag4a_12","ag4a_13_1","ag4a_13_2","ag4a_17","ag4a_18","ag4a_19","ag4a_20","ag4a_21","ag4a_22","ag4a_23","ag4a_24_1","ag4a_24_2","ag4a_25","ag4a_26","ag4a_27","ag4a_28","ag4a_29_1","ag4a_29_2"
"39-26-37-98","1000-001-01",2,11,1,,,1,2,"HIGH BRIDGE",1,10,1,0,,,10,1,60000,16,1,2,,1,,2,2,,9,9,,,432,160000,3,
"39-26-37-98","1000-001-01",2,34,2,1,4,1,2,"NYEUPE",2,1,1,1,1,2,0,,,,,2,,1,,0.5,2,,10,10,,,120,240000,3,
"48-07-72-07","1001-001-01",1,11,1,,,1,2,"MBEGU YA SIDIKO",1,10,1,0,,,10,1,60000,16,1,1,3,1,,2,1,4,7,7,,,800,240000,1,
"48-07-72-07","1001-001-01",1,31,2,2,1,1,2,"MBEGU YA BWANA SHAMBA",1,2,2,2,2,1,0,,,,,2,,1,,0.5,2,,7,7,,,200,160000,1,
"48-07-72-07","1001-001-01",1,34,1,,,1,2,"MBEGU YA MBAAZI",3,4,1,0,,,4,1,5000,1,1,1,7,2,5,,,,,,,,,,,
"87-35-70-53","1002-001-01",1,11,1,,,1,2,"SEED CO",1,20,1,0,,,20,1,120000,16,2,2,,1,,2,1,4,8,8,,,3840,1376000,1,
"87-35-70-53","1002-001-01",1,34,1,,,1,2,"KIENYEJI",2,1,5,0,,,1,5,2500,5,2,2,,2,3,,,,,,,,,,,
"87-35-70-53","1002-001-01",2,11,1,,,1,2,"HYBREED",1,40,1,0,,,20,1,120000,16,2,2,,1,,2,1,4,8,8,,,2400,800000,2,
"87-35-70-53","1002-001-01",2,34,1,,,1,2,"KIENYEJI",2,1,5,0,,,1,5,5000,5,3,2,,1,,2,1,4,9,9,,,600,600000,2,
"87-35-70-53","1002-001-01",2,41,1,,,1,2,"KIENYEJI",2,1,5,0,,,1,5,4500,5,2,2,,1,,2,1,4,7,7,,,450,180000,2,
"90-92-88-29","1003-001-01",1,11,1,,,1,2,"SIMBA",3,20,1,20,1,3,0,,,,,2,,1,,3,2,,9,9,,,1200,48000,1,3
"90-92-88-29","1003-001-01",1,13,2,1,1,1,2,"KISUKARI",1,4,1,4,1,1,0,,,,,1,1,1,,1,2,,7,7,,,80,10000,1,3
"90-92-88-29","1003-001-01",1,31,2,2,1,1,2,"CANADA",3,20,1,20,1,3,0,,,,,1,3,1,,1.5,1,4,6,6,,,140,150000,1,3
"90-92-88-29","1003-001-01",1,34,2,1,1,1,2,"ASILI",2,2,1,0,,,2,1,12000,2,1,1,3,1,,1,2,,8,8,,,60,75000,1,3
"90-92-88-29","1003-001-01",1,41,2,1,1,1,2,"ASILI",2,4,1,0,,,4,1,13000,3,1,1,1,1,,1,2,,7,7,,,100,120000,1,3
"16-34-22-80","1005-001-01",1,11,1,,,1,2,"SIMBA",1,6,1,0,,,6,1,36000,16,1,2,,1,,1,2,,9,9,,,600,225000,1,2
"16-34-22-80","1005-001-01",1,41,2,1,1,1,2,"ALIZETI",2,2,1,2,1,2,0,,,,,1,1,1,,0.2,2,,9,9,,,52,40000,1,2
"16-34-22-80","1005-001-01",3,31,1,,,1,2,"KARIASEE",2,16,1,16,1,2,0,,,,,1,3,1,,1,1,4,7,7,,,60,100000,1,2
"16-34-22-80","1005-001-01",3,41,2,1,1,1,2,"ALIZETI",2,2,1,2,1,2,0,,,,,2,,1,,0.25,2,,8,8,,,13,7000,1,2
"66-03-93-27","1006-001-01",1,11,1,,,1,2,"PUNDAMILIA NA DK",1,20,1,0,,,20,1,120000,16,1,1,7,1,,2,2,,9,9,,,1200,420000,1,2
"66-03-93-27","1006-001-01",1,31,2,2,1,1,2,"KARIASI NA MKE MWEMA",1,40,1,0,,,40,1,40000,4,1,1,7,1,,2,2,,8,8,,,260,180000,1,2
"93-03-21-31","1006-001-04",1,11,1,,,1,2,"SEED CO",1,4,1,0,,,4,1,24000,16,1,2,,1,,1,1,2,9,9,,,120,30000,1,2
"93-03-21-31","1006-001-04",1,41,1,,,1,2,"SEED CO",1,1,1,0,,,1,1,6000,16,1,2,,1,,1,1,2,7,7,,,44,10000,1,2
"54-26-09-51","1007-001-01",1,11,1,,,1,2,"HYBREED",1,12,1,0,,,12,1,144000,16,2,1,8,2,6,,,,,,,,,,,
"54-26-09-51","1007-001-01",1,31,1,,,1,2,"CANADA",2,1,5,0,,,1,5,30000,1,1,1,8,2,6,,,,,,,,,,,
"54-26-09-51","1007-001-01",1,34,1,,,1,2,"KISASA",1,1,1,0,,,1,1,8000,16,2,1,8,2,6,,,,,,,,,,,
"54-26-09-51","1007-001-01",1,41,2,1,8,1,2,"KIENYEJI",2,0.5,1,0,,,0.5,1,0,1,1,1,8,2,6,,,,,,,,,,,
"91-42-46-84","1009-001-01",1,11,1,,,1,2,"TUMBILI",1,2,1,0,,,2,1,12000,16,1,2,,1,,1.5,2,,7,7,,,252,100000,1,2
"91-42-46-84","1009-001-01",1,31,1,,,1,2,"SOYA",2,20,1,0,,,20,1,30000,5,1,2,,1,,1.5,2,,7,7,,,280,350000,1,2
"91-42-46-84","1009-001-01",2,11,1,,,2,,"SIMBA",1,100,1,0,,,100,1,650000,16,2,2,,1,,7,2,,8,8,,,3456,1152000,1,
"49-38-79-42","1025-001-02",2,11,1,,,2,,"PANA",2,1,1,1,2,2,0,,,,,2,,1,,1.25,2,,8,8,,,648,180000,2,
