"interview__key","y5_hhid","plot_id","cropid","ag4b_01","ag4b_02","ag4b_03","ag4b_04","ag4b_05","ag4b_06","ag4b_08","ag4b_10_1","ag4b_10_2","ag4b_10a_1","ag4b_10a_2","ag4b_10b","ag4b_10c_1","ag4b_10c_2","ag4b_12","ag4b_13_1","ag4b_13_2","ag4b_17","ag4b_18","ag4b_19","ag4b_20","ag4b_21","ag4b_22","ag4b_23","ag4b_24_1","ag4b_24_2","ag4b_25","ag4b_26","ag4b_27","ag4b_28","ag4b_29","ag4b_30_1","ag4b_30_2"
"16-34-22-80","1005-001-01",1,31,1,,,2,,"KARIASEE",2,4,1,4,1,2,0,,,,,2,,1,,1,2,,3,3,1,,,60,54000,1,2
"79-06-68-49","1059-001-03",2,43,2,1,1,2,,"KIENYEJI.",2,2,5,0,,,2,5,8000,2,1,1,6,1,,0.2,1,1,2,2,1,,,240,96000,1,
"09-26-67-92","1193-001-01",1,11,2,3,1,1,2,"MBEGU   YA   KIENYEJI",2,2,1,0,,,2,1,3000,16,1,2,,2,2,,,,,,,,,,,,
"09-26-67-92","1193-001-01",1,32,2,3,1,1,2,"MBEGU  YA  ASILI",2,1,1,0,,,1,1,1400,16,1,2,,1,,0.12,2,,12,0,2,20,15,11,11000,2,
"09-26-67-92","1193-001-01",1,998,2,1,1,1,2,"MBEGU   YA   ASILI",2,1,1,0,,,0,,,,,2,,1,,0.1,2,,11,0,2,30,50,9,5000,2,
"32-46-17-36","1236-001-04",1,11,1,,,2,,"KATUMBILI",1,4,1,0,,,4,1,22000,9,2,2,,1,,1,2,,3,3,1,,,1260,280000,1,
"32-46-17-36","1236-001-04",2,11,1,,,2,,"KATUMBILI",2,10,1,10,1,2,0,,,,,2,,1,,2,2,,2,1,1,,,378,105000,1,
"14-23-99-91","1333-001-01",1,11,1,,,2,,"MBEGU YA MAHINDI",1,1.5,1,0,,,1.5,1,7500,9,2,2,,1,,0.25,2,,1,1,1,,,40,28000,1,
"79-50-93-44","1462-001-01",1,22,2,2,1,1,2,"VIAZI  VYA   NJANO",2,2,1,0,,,0,,,,,2,,2,2,,,,,,,,,,,,
"79-50-93-44","1462-001-01",1,25,2,1,1,1,2,"MAGIMBI   MEUPE",2,3,1,0,,,3,1,5000,2,1,2,,2,2,,,,,,,,,,,,
"79-50-93-44","1462-001-01",1,32,1,,,1,2,"KUNDE   NENE",2,1,1,0,,,1,1,1500,2,1,2,,2,2,,,,,,,,,,,,
"79-50-93-44","1462-001-01",1,91,2,1,1,1,2,"MCHICHA  WA   KISASA",1,300,5,0,,,300,5,3000,2,1,2,,1,,0.01,1,9,1,0,2,15,65,8,15000,2,
"79-50-93-44","1462-001-01",1,998,2,1,1,1,2,"MATEMBELE   MANENE",2,2,1,0,,,2,1,1500,2,1,2,,1,,0.01,2,,1,0,2,25,60,4,6000,2,
"07-54-14-55","1559-001-01",2,998,1,,,2,,"MBEGU YA MIHOGO (CHEUPE)",2,150,5,0,,,200,5,16000,4,2,2,,2,2,,,,,,,,,,,,
"59-65-56-21","1707-001-01",1,998,2,3,8,2,,"MBEGU YA MIHOGO",2,15,1,15,1,2,0,,,,,2,,2,2,,,,,,,,,,,,
"99-84-02-40","1764-001-01",1,998,1,,,1,2,"KIBANDA MENO",2,1,5,1,5,2,0,,,,,2,,2,2,,,,,,,,,,,,
