"interview__key","y5_hhid","cropid","ag5a_01","ag5a_02","ag5a_03","ag5a_04_1","ag5a_04_2","ag5a_05","ag5a_06","ag5a_07_1","ag5a_07_2","ag5a_08","ag5a_09_1","ag5a_09_2","ag5a_10_1","ag5a_10_2","ag5a_11a","ag5a_11_1","ag5a_11_2","ag5a_12","ag5a_13","ag5a_14_1","ag5a_14_2","ag5a_15","ag5a_16_1","ag5a_16_2","ag5a_17_1","ag5a_17_2","ag5a_18","ag5a_19","ag5a_20","ag5a_21","ag5a_22","ag5a_23","ag5a_24","ag5a_25","ag5a_26","ag5a_27","ag5a_28","ag5a_29","ag5a_30","ag5a_31","ag5a_32","ag5a_32a","ag5a_32b","ag5a_32c","ag5a_32d","ag5a_32e","ag5a_33","ag5a_34","ag5a_35","ag5a_36_1a","ag5a_36_1b","ag5a_36_2a","ag5a_36_2b"
"39-26-37-98","1000-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,324,0,0,108,0,4,,,,,,
"39-26-37-98","1000-001-01",34,1,80,160000,9,1,80,160000,11,2020,1,3,,3,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,30,10,0,0,0,8,,,,,,
"48-07-72-07","1001-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,800,0,0,0,0,4,,,,,,
"48-07-72-07","1001-001-01",31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,200,0,0,0,0,5,,,,,,
"87-35-70-53","1002-001-01",11,1,3600,1290000,9,3,3600,1290000,9,2020,2,1,2,1,2,2,,,,,,,,,,,,1,2,2,4,60000,2,,,,,,2,,,,600,0,480,1560,0,4,,,,,,
"87-35-70-53","1002-001-01",34,1,600,600,9,3,600,600,10,2020,1,2,,2,,2,,,,,,,,,,,,1,4,1,4,10000,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"87-35-70-53","1002-001-01",41,1,375,150000,9,1,375,150000,8,2020,1,2,,2,,2,,,,,,,,,,,,1,4,2,6,10000,2,,,,,,2,,,,75,0,0,0,0,4,,,,,,
"90-92-88-29","1003-001-01",11,1,200,100000,5,1,100,50000,9,2020,2,1,3,1,3,1,5,1,100,50000,10,2020,1,1,3,1,3,2,,,,,2,,,,,,2,,,,920,0,0,80,0,4,,,,,,
"90-92-88-29","1003-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,80,4,2,,4,2,,,,0,0,0,0,0,4,,,,,,
"90-92-88-29","1003-001-01",31,1,40,15000,4,1,40,15000,6,2020,1,1,3,1,3,2,,,,,,,,,,,,1,2,1,6,0,2,,,,,,2,,,,60,40,0,40,0,4,,,,,,
"90-92-88-29","1003-001-01",34,1,40,15000,5,1,40,15000,9,2020,1,1,3,1,3,2,,,,,,,,,,,,1,2,1,6,2000,2,,,,,,2,,,,0,20,0,0,0,4,,,,,,
"90-92-88-29","1003-001-01",41,1,20,15000,5,1,20,15000,7,2020,1,1,3,1,3,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,80,0,0,0,0,4,,,,,,
"16-34-22-80","1005-001-01",11,1,360,150000,4,1,360,150000,12,2020,1,1,2,1,2,2,,,,,,,,,,,,1,4,1,6,2000,2,,,,,,2,,,,120,20,0,60,0,3,,,,,,
"16-34-22-80","1005-001-01",31,1,60,100000,4,1,60,100000,12,2020,1,1,,1,2,2,,,,,,,,,,,,1,4,1,6,2000,2,,,,,,2,,,,20,16,0,10,0,3,,,,,,
"16-34-22-80","1005-001-01",41,1,26,16000,4,1,26,16000,9,2020,1,1,,1,2,2,,,,,,,,,,,,1,15,1,6,2000,2,,,,,,2,,,,0,0,0,0,0,3,,,,,,
"66-03-93-27","1006-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,1080,0,0,120,0,4,,,,,,
"66-03-93-27","1006-001-01",31,1,130,90000,4,1,130,90000,9,2020,1,1,,1,2,2,,,,,,,,,,,,1,2,1,6,2000,2,,,,,,2,,,,130,0,0,0,0,4,,,,,,
"93-03-21-31","1006-001-04",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,120,0,0,0,0,2,,,,,,
"93-03-21-31","1006-001-04",41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,44,0,0,0,0,2,,,,,,
"91-42-46-84","1009-001-01",11,1,2808,1092000,9,1,2808,1092000,10,2020,3,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,648,0,126,126,0,4,,,,,,
"91-42-46-84","1009-001-01",31,1,200,300000,9,1,200,300000,9,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,50,20,0,10,0,4,,,,,,
"49-38-79-42","1025-001-02",11,1,216,120000,9,1,216,120000,10,2020,1,2,,2,,2,,,,,,,,,,,,2,,,,,1,108,4,2,,1,2,,,,108,0,0,216,0,2,,,,,,
"86-53-32-92","1042-001-01",11,1,5640,2115000,9,5,5640,2115000,6,2020,3,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,5,,,,,,
"86-53-32-92","1042-001-01",34,1,480,200000,9,5,480,200000,9,2020,1,1,,1,3,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,5,,,,,,
"86-53-32-92","1042-001-01",41,1,2142,490000,9,5,2142,490000,5,2020,1,1,,1,3,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,400,0,0,100,0,5,,,,,,
"51-52-11-49","1044-001-01",23,1,1560,429000,9,4,1560,429000,8,2020,3,1,,1,,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"68-51-31-95","1058-001-01",12,1,1232,550000,9,1,1232,550000,7,2020,2,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,350,48,0,50,0,5,,,,,,
"71-14-80-87","1059-001-01",11,1,1800,900000,9,4,1800,900000,10,2020,3,1,2,1,2,2,,,,,,,,,,,,1,4,3,3,0,1,840,1,2,,1,2,,,,1440,120,0,0,0,4,,,,,,
"71-14-80-87","1059-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,600,120,0,480,0,2,,,,,,
"71-14-80-87","1059-001-01",22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,1,2,,1,2,,,,1200,0,0,0,0,4,,,,,,
"71-14-80-87","1059-001-01",43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,2,,1,2,,,,200,40,0,0,0,2,,,,,,
"79-06-68-49","1059-001-03",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,840,120,0,0,0,5,,,,,,
"79-06-68-49","1059-001-03",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,240,0,0,0,0,2,,,,,,
"79-06-68-49","1059-001-03",22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,1040,0,0,0,0,5,,,,,,
"71-40-42-06","1059-001-06",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,360,0,0,0,0,2,,,,,,
"71-40-42-06","1059-001-06",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,120,0,0,0,0,2,,,,,,
"71-40-42-06","1059-001-06",22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100,4,2,,1,2,,,,2900,0,0,0,0,2,,,,,,
"71-40-42-06","1059-001-06",41,1,540,1080000,16,1,540,1080000,8,2021,1,1,,1,,2,,,,,,,,,,,,2,,,,,1,50,4,2,,3,2,,,,70,120,0,0,0,2,,,,,,
"71-40-42-06","1059-001-06",43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,4,2,,1,2,,,,160,0,0,0,0,2,,,,,,
"27-54-41-37","1060-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,2700,0,0,0,0,2,,,,,,
"27-54-41-37","1060-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,1200,0,0,0,0,2,,,,,,
"50-50-37-47","1061-001-03",11,1,756,245000,9,1,756,245000,8,2020,1,1,5,1,5,2,,,,,,,,,,,,2,,,,,1,3888,1,2,,1,2,,,,540,0,0,0,0,4,,,,,,
"50-50-37-47","1061-001-03",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1080,1,2,,1,2,,,,78,30,0,0,0,4,,,,,,
"50-50-37-47","1061-001-03",22,1,2000,600000,9,1,2000,600000,9,2020,2,1,5,1,5,2,,,,,,,,,,,,2,,,,,1,800,1,2,,1,2,,,,1000,0,0,200,0,4,,,,,,
"50-50-37-47","1061-001-03",41,1,2700,3600000,9,1,2700,3600000,7,2020,5,1,5,1,5,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,60,60,0,0,0,2,,,,,,
"50-50-37-47","1061-001-03",43,1,600,600000,9,1,600,600000,8,2020,4,1,5,1,5,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,120,30,0,0,0,4,,,,,,
"25-09-89-03","1062-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200,1,1,1,1,2,,,,3800,0,0,0,0,4,,,,,,
"21-11-75-86","1063-001-01",11,1,2688,750000,9,2,2688,750000,8,2020,2,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,1,1,1,70000,2872,100,0,120,0,4,,,,,,
"21-11-75-86","1063-001-01",41,1,1120,1120000,9,1,1120,1120000,8,2020,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,140,70,0,0,0,4,,,,,,
"21-11-75-86","1063-001-01",43,1,360,300000,9,2,360,300000,6,2020,2,2,,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,366,30,0,0,0,4,,,,,,
"63-59-38-21","1064-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,90,18,0,0,0,5,,,,,,
"63-59-38-21","1064-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,300,24,0,0,0,5,,,,,,
"63-59-38-21","1064-001-01",22,1,100,15000,5,1,100,15000,8,2020,3,1,,1,,2,,,,,,,,,,,,1,2,2,1,0,2,,,,,,2,,,,380,0,0,0,0,2,,,,,,
"63-59-38-21","1064-001-01",32,1,20,30000,5,1,20,30,8,2020,1,1,,1,,2,,,,,,,,,,,,1,2,1,1,0,2,,,,,,2,,,,30,0,0,0,0,2,,,,,,
"63-59-38-21","1064-001-01",43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,17,3,0,0,0,2,,,,,,
"51-70-28-89","1076-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,144,0,0,0,0,5,,,,,,
"51-70-28-89","1076-001-01",31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,10,0,0,0,0,2,,,,,,
"45-88-08-27","1077-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,720,0,0,0,0,4,,,,,,
"45-88-08-27","1077-001-01",89,1,2000,1000000,9,4,1000,1000000,8,2020,1,1,6,1,6,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,0,0,0,0,0,2,,,,,,
"83-42-33-56","1078-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,240,4,2,,1,2,,,,240,0,0,0,0,4,,,,,,
"83-42-33-56","1078-001-01",89,1,3640,780000,9,1,3640,780000,4,2021,1,1,2,1,2,2,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,140,0,0,0,0,1,,,,,,
"51-38-42-66","1079-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,960,0,0,0,0,4,,,,,,
"70-13-86-62","1080-001-01",31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,18,2,0,0,0,2,,,,,,
"15-64-51-68","1081-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,108,0,0,0,0,4,,,,,,
"40-74-76-77","1082-001-01",11,1,120,50000,5,2,120,50000,10,2020,5,1,,1,,2,,,,,,,,,,,,1,1,5,1,0,2,,,,,,2,,,,560,40,0,0,0,4,,,,,,
"71-92-06-80","1083-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,160,0,0,140,0,4,,,,,,
"74-62-00-18","1097-001-04",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,240,0,0,120,0,4,,,,,,
