"interview__key","y5_hhid","plot_id","cropid","ag6a_02","ag6a_03","ag6a_04","ag6a_05","ag6a_06","ag6a_06a","ag6a_07_1","ag6a_07_2","ag6a_07_3","ag6a_07_4","ag6a_08_1","ag6a_08_2","ag6a_09","ag6a_10","ag6a_11"
"48-07-72-07","1001-001-01",1,72,1,2020,1,1,2,2,,,,,,,,,
"48-07-72-07","1001-001-01",1,73,1,2020,1,1,2,2,,,,,,,,,
"87-35-70-53","1002-001-01",2,71,7,2020,7,2,,2,,,,,,,,,
"49-38-79-42","1025-001-02",2,71,20,1900,0,2,,1,2019,12,2020,11,2,,600,2,
"86-53-32-92","1042-001-01",1,71,8,2018,0,2,,1,2020,10,2020,11,3,,75,2,
"86-53-32-92","1042-001-01",1,72,2,2006,0,2,,1,2021,9,2021,10,1,,200,2,
"86-53-32-92","1042-001-01",1,73,1,2001,0,2,,1,2021,2,2021,3,1,3,200,2,
"86-53-32-92","1042-001-01",1,74,2,2017,0,2,,1,2021,5,2021,11,1,3,75,2,
"86-53-32-92","1042-001-01",1,79,1,2000,0,2,,1,2021,4,2021,5,1,3,50,2,
"86-53-32-92","1042-001-01",1,80,1,2000,0,2,,1,2021,3,2021,6,1,3,100,2,
"86-53-32-92","1042-001-01",1,203,1,1998,0,2,,1,2021,2,2021,4,1,3,150,2,
"86-53-32-92","1042-001-01",1,205,2,2020,2,2,,2,,,,,,,,,
"86-53-32-92","1042-001-01",1,852,2,2021,2,2,,2,,,,,,,,,
"51-70-28-89","1076-001-01",1,71,0,2017,0,1,2,1,2020,11,2021,10,1,2,36,2,
"51-70-28-89","1076-001-01",1,76,1,2015,0,1,2,1,2021,4,2021,6,1,2,15,2,
"51-70-28-89","1076-001-01",1,200,1,2017,0,1,2,1,2021,6,2021,9,1,2,5,2,
"40-74-76-77","1082-001-01",1,71,15,2000,0,2,,1,2020,11,2021,10,1,2,250,2,
"08-25-45-41","1134-001-01",1,71,233,2018,40,1,2,1,2020,12,2021,11,1,2,750,2,
"31-67-12-82","1152-001-01",1,69,8,2020,0,2,,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,70,30,2020,0,2,,1,2021,7,2021,7,1,,10,2,
"31-67-12-82","1152-001-01",1,71,115,2019,0,2,,1,2020,10,2021,6,1,,230,2,
"31-67-12-82","1152-001-01",1,73,7,2019,0,2,,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,74,21,2019,3,2,,1,2020,10,2021,7,1,,45,1,1
"31-67-12-82","1152-001-01",1,75,55,2019,0,2,,1,2020,11,2020,12,1,,40,2,
"31-67-12-82","1152-001-01",1,76,7,2019,0,2,,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,79,6,2019,0,2,,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,80,3,2019,0,2,,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,200,15,2019,0,2,,2,,,,,,,,,
