"interview__key","y5_hhid","plot_id","cropid","ag6b_02","ag6b_03","ag6b_04","ag6b_05","ag6b_06","ag6b_06a","ag6b_07_1","ag6b_07_2","ag6b_07_3","ag6b_07_4","ag6b_08_1","ag6b_08_2","ag6b_09","ag6b_10","ag6b_11"
"87-35-70-53","1002-001-01",2,304,5,1990,0,2,,2,,,,,,,,,
"51-70-28-89","1076-001-01",1,304,18,2015,7,1,2,2,,,,,,,,,
"45-88-08-27","1077-001-01",1,304,12,2010,0,2,,2,,,,,,,,,
"15-64-51-68","1081-001-01",1,304,10,2007,0,2,,2,,,,,,,,,
"08-25-45-41","1134-001-01",1,21,66,2020,0,1,2,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,21,600,2020,0,2,,1,2021,8,2021,9,1,,1230,2,
"31-67-12-82","1152-001-01",1,45,8,2019,0,2,,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,46,11,2019,0,2,,2,,,,,,,,,
"31-67-12-82","1152-001-01",1,53,9,2019,0,2,,2,,,,,,,,,
"31-48-95-02","1155-001-01",1,60,10,2016,0,2,,1,2020,1,2020,12,2,,15,2,
"39-24-29-81","1159-001-01",1,21,20,2019,10,1,2,1,2020,6,2020,8,1,,10,2,
"63-91-22-93","1191-001-01",1,60,1,2009,0,1,2,2,,,,,,,,,
"09-26-67-92","1193-001-01",1,21,35,2020,35,1,2,2,,,,,,,,,
"09-26-67-92","1193-001-01",1,34,65,2020,65,1,2,2,,,,,,,,,
"02-54-47-04","1198-001-01",1,21,500,2020,500,2,,2,,,,,,,,,
"02-54-47-04","1198-001-01",1,46,3,1900,0,2,,2,,,,,,,,,
"02-54-47-04","1198-001-01",1,60,38,2019,0,2,,1,2020,10,2021,1,1,2,60,2,
"23-14-85-73","1217-001-01",1,60,215,2019,30,1,2,1,2020,3,2020,12,1,2,250,2,
"40-87-17-22","1230-001-01",1,45,3,1996,0,1,2,1,2020,12,2021,1,2,,150,2,
"85-07-13-31","1232-001-01",1,44,2,2010,0,2,,1,2020,3,2020,3,1,2,5,1,1
"59-82-97-20","1233-001-01",1,45,1,1990,0,1,2,1,2020,8,2021,3,2,,200,2,
"61-64-62-24","1235-001-02",1,34,3,2019,0,1,2,1,2020,9,2020,11,2,,4,2,
"61-64-62-24","1235-001-02",1,60,45,2019,26,1,2,1,2020,4,2020,8,2,,25,2,
"97-64-08-95","1250-001-01",1,60,13,2020,3,2,,2,,,,,,,,,
"28-24-87-55","1305-001-01",1,54,15,1900,0,2,,2,,,,,,,,,
"28-24-87-55","1305-001-01",1,61,20,2019,15,2,,1,2021,6,2021,8,1,,1,2,
"28-24-87-55","1305-001-01",1,304,60,1900,0,2,,2,,,,,,,,,
"65-62-10-78","1323-001-01",1,45,1,2006,0,2,,2,,,,,,,,,
"65-62-10-78","1323-001-01",1,60,7,2018,2,2,,1,2020,1,2021,2,1,,20,2,
"00-63-85-41","1325-001-01",1,60,4,2020,4,1,2,1,2020,4,2020,4,2,,30,2,
"14-23-99-91","1333-001-01",1,21,150,2020,150,2,,2,,,,,,,,,
"14-23-99-91","1333-001-01",1,60,22,2016,0,2,,1,2019,10,2021,2,1,2,30,2,
