"interview__key","y5_hhid","cropid","ag7a_02","ag7a_03","ag7a_04","ag7a_05_1","ag7a_05_2","ag7a_06_1","ag7a_06_2","ag7a_07_1a","ag7a_07_1b","ag7a_07_2a","ag7a_07_2b","ag7a_08","ag7a_09","ag7a_10","ag7a_11","ag7a_12","ag7a_13","ag7a_14","ag7a_15","ag7a_16","ag7a_17","ag7a_18","ag7a_19","ag7a_20","ag7a_21"
"49-38-79-42","1025-001-02",71,1,150,70000,2,,2,,9,2,9,2,2,,,,,2,,,,300,0,0,150,0
"86-53-32-92","1042-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,75,0,0,0,0
"86-53-32-92","1042-001-01",72,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,100,0
"86-53-32-92","1042-001-01",73,2,,,,,,,,,,,2,,,,,2,,,,150,0,0,50,0
"86-53-32-92","1042-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,75,0,0,0,0
"86-53-32-92","1042-001-01",79,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"86-53-32-92","1042-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,75,0,0,25,0
"86-53-32-92","1042-001-01",203,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,50,0
"51-70-28-89","1076-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,36,0,0,0,0
"51-70-28-89","1076-001-01",76,2,,,,,,,,,,,2,,,,,2,,,,12,0,0,3,0
"51-70-28-89","1076-001-01",200,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"40-74-76-77","1082-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,250,0,0,0,0
"08-25-45-41","1134-001-01",71,1,300,80000,1,2,1,2,9,1,9,1,2,,,,,2,,,,450,0,0,0,0
"31-67-12-82","1152-001-01",70,1,6,3000,1,,1,,2,1,2,1,2,,,,,2,,,,2,0,0,2,0
"31-67-12-82","1152-001-01",71,1,190,55000,1,,1,,3,1,3,1,2,,,,,2,,,,30,0,0,10,0
"31-67-12-82","1152-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,20,0
"31-67-12-82","1152-001-01",75,2,,,,,,,,,,,2,,,,,2,,,,15,0,0,25,0
"31-48-95-02","1155-001-01",71,2,,,,,,,,,,,2,,,,,1,1,1,3000,27,0,0,0,0
"02-54-47-04","1198-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,45,0,0,5,0
"02-54-47-04","1198-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"12-73-25-80","1209-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,45,0,0,0,0
"12-73-25-80","1209-001-01",74,2,,,,,,,,,,,2,,,,,1,5,4,20000,50,0,0,0,0
"12-73-25-80","1209-001-01",76,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,60,0
"23-14-85-73","1217-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"23-14-85-73","1217-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,10,0
"40-87-17-22","1230-001-01",38,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,0,0
"40-87-17-22","1230-001-01",71,1,20,20,2,,2,,2,1,2,1,2,,,,,2,,,,0,0,0,0,0
"40-87-17-22","1230-001-01",74,1,4,4500,2,,2,,2,1,0,,2,,,,,2,,,,2,0,0,0,0
"40-87-17-22","1230-001-01",80,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"40-87-17-22","1230-001-01",98,2,,,,,,,,,,,2,,,,,2,,,,8,0,0,0,0
"40-87-17-22","1230-001-01",200,2,,,,,,,,,,,2,,,,,2,,,,85,0,0,0,0
"40-87-17-22","1230-001-01",205,2,,,,,,,,,,,2,,,,,2,,,,12,0,0,0,0
"59-82-97-20","1233-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"19-27-15-15","1252-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,0,0
"28-24-87-55","1305-001-01",69,1,250,150000,1,,1,,9,1,9,1,2,,,,,2,,,,30,0,0,20,0
"28-24-87-55","1305-001-01",71,1,14000,3500000,1,,1,,9,1,9,1,2,,,,,2,,,,300,0,0,150,550
"28-24-87-55","1305-001-01",72,1,1500,300000,1,,1,,9,1,9,1,2,,,,,2,,,,50,0,0,20,30
"65-62-10-78","1323-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,0,0
"65-62-10-78","1323-001-01",200,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,10,0
"00-63-85-41","1325-001-01",71,1,6,10000,2,,2,,2,1,2,1,2,,,,,2,,,,0,0,0,0,0
"00-63-85-41","1325-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,15,0,0,0,0
"99-92-94-71","1329-001-01",71,1,10,8000,1,2,2,,2,1,0,,2,,,,,2,,,,55,0,0,0,0
"99-92-94-71","1329-001-01",74,2,,,,,,,,,,,2,,,,,2,,,,21,0,0,3,0
"96-56-62-65","1331-001-01",71,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
