"interview__key","y5_hhid","cropid","ag7b_02","ag7b_03","ag7b_04","ag7b_05_1","ag7b_05_2","ag7b_06_1","ag7b_06_2","ag7b_07_1a","ag7b_07_1b","ag7b_07_2a","ag7b_07_2b","ag7b_08","ag7b_09","ag7b_10","ag7b_11","ag7b_12","ag7b_13","ag7b_14","ag7b_15","ag7b_16","ag7b_17","ag7b_18","ag7b_19","ag7b_20","ag7b_21"
"31-67-12-82","1152-001-01",21,1,1200,210000,1,,1,,9,1,9,1,2,,,,,2,,,,20,0,0,10,0
"31-48-95-02","1155-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,7,0,0,8,0
"39-24-29-81","1159-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,8,0,0,2,0
"02-54-47-04","1198-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,10,0
"23-14-85-73","1217-001-01",60,1,150,50000,1,2,1,2,2,3,2,3,2,,,,,2,,,,70,0,0,30,0
"40-87-17-22","1230-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,150,0,0,0,0
"85-07-13-31","1232-001-01",44,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"59-82-97-20","1233-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,200,0,0,0,0
"61-64-62-24","1235-001-02",34,2,,,,,,,,,,,2,,,,,2,,,,4,0,0,0,0
"61-64-62-24","1235-001-02",60,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,0,0
"28-24-87-55","1305-001-01",61,2,,,,,,,,,,,1,1,7,2,,2,,,,0,0,0,0,0
"65-62-10-78","1323-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"00-63-85-41","1325-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"14-23-99-91","1333-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"35-22-61-35","1401-001-01",34,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"39-91-71-06","1403-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"59-62-66-41","1420-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,22,0,0,0,0
"66-75-13-74","1421-001-01",44,2,,,,,,,,,,,2,,,,,2,,,,0,0,0,25,0
"79-50-93-44","1462-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,18,0
"79-50-93-44","1462-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,34,0,0,6,0
"79-50-93-44","1462-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,35,0,0,35,0
"35-70-97-65","1519-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,480,0,0,40,0
"35-10-30-26","1552-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,10,0
"35-10-30-26","1552-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,100,0,0,0,0
"87-34-09-05","1553-001-03",45,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"87-34-09-05","1553-001-03",60,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,40,0
"18-78-78-83","1554-001-01",46,2,,,,,,,,,,,2,,,,,2,,,,2,0,0,3,0
"72-28-96-80","1555-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,10,0
"98-95-18-17","1556-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,0,0
"98-95-18-17","1556-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,65,0,0,0,0
"87-14-18-77","1557-001-01",34,2,,,,,,,,,,,1,15,2,2,,2,,,,0,0,0,0,0
"87-14-18-77","1557-001-01",44,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"87-14-18-77","1557-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,20,0,0,0,0
"87-14-18-77","1557-001-01",46,2,,,,,,,,,,,2,,,,,2,,,,6,0,0,0,0
"87-14-18-77","1557-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"28-18-07-54","1573-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,90,0,0,16,0
"26-44-95-55","1594-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,40,0,0,0,0
"00-17-71-97","1596-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,200,0,0,560,140
"00-17-71-97","1596-001-01",44,2,,,,,,,,,,,2,,,,,2,,,,150,0,0,0,0
"00-17-71-97","1596-001-01",54,1,80,280000,1,2,1,2,6,1,6,1,2,,,,,2,,,,0,0,0,0,0
"00-17-71-97","1596-001-01",60,1,1750,350000,1,2,1,2,2,1,2,1,2,,,,,2,,,,250,0,0,250,0
"00-17-71-97","1596-001-01",302,1,800,800000,1,2,1,2,2,1,2,1,2,,,,,2,,,,200,0,0,0,0
"00-17-71-97","1596-001-01",303,2,,,,,,,,,,,2,,,,,2,,,,0,0,0,1000,0
"00-17-71-97","1596-001-01",304,1,200000,2240000,1,2,1,2,9,1,9,3,2,,,,,2,,,,0,0,0,0,0
"00-17-71-97","1596-001-01",305,2,,,,,,,,,,,2,,,,,2,,,,0,0,0,50,0
"26-30-52-40","1614-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,80,0,0,20,0
"22-38-66-35","1705-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,350,0,0,0,0
"22-38-66-35","1705-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,8000,0,0,0,0
"22-38-66-35","1705-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,140,0,0,0,0
"63-97-16-08","1725-001-01",57,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"63-97-16-08","1725-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"15-97-35-81","1745-001-01",21,1,660,220000,1,,1,,2,1,2,1,2,,,,,2,,,,60,0,0,60,0
"15-97-35-81","1745-001-01",34,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,11,0
"60-65-34-17","1746-001-01",34,2,,,,,,,,,,,2,,,,,2,,,,2,0,0,1,0
"60-65-34-17","1746-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,7,0,0,0,0
"99-84-02-40","1764-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"88-80-90-94","1766-001-01",57,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,0,0
"17-64-18-79","1768-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,70,0,0,0,0
"17-64-18-79","1768-001-01",60,2,,,,,,,,,,,2,,,,,2,,,,15,0,0,0,0
"11-59-35-06","1785-001-03",21,2,,,,,,,,,,,2,,,,,2,,,,10,0,0,0,0
"03-94-16-92","1799-001-01",34,2,,,,,,,,,,,1,20,4,2,,2,,,,50,0,0,10,0
"96-34-88-55","1800-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,5,0,0,0,0
"03-14-29-97","1820-001-01",45,2,,,,,,,,,,,2,,,,,2,,,,25,0,0,0,0
"49-86-16-68","1843-001-01",301,2,,,,,,,,,,,2,,,,,2,,,,30,0,0,15,0
"15-55-16-65","1876-001-02",21,2,,,,,,,,,,,2,,,,,2,,,,60,0,0,0,0
"08-43-62-70","1893-001-01",21,2,,,,,,,,,,,1,65,2,2,,2,,,,100,0,0,30,0
"55-83-06-85","1932-001-04",21,1,300,60000,1,2,1,2,9,2,9,2,1,200,6,2,,2,,,,520,0,0,80,0
"66-14-94-18","1935-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"98-18-22-89","1937-001-02",21,1,150,60000,2,,2,,2,1,1,1,1,450,4,2,,2,,,,250,0,0,0,0
"05-92-83-74","1938-001-02",21,2,,,,,,,,,,,2,,,,,2,,,,150,0,0,0,0
"05-92-83-74","1938-001-02",54,1,24,24000,1,2,1,2,7,1,7,1,2,,,,,2,,,,0,0,0,0,0
"05-92-83-74","1938-001-02",60,2,,,,,,,,,,,2,,,,,2,,,,50,0,0,0,0
"05-92-83-74","1938-001-02",998,2,,,,,,,,,,,2,,,,,2,,,,300,0,0,0,0
"16-23-33-32","1957-001-01",21,2,,,,,,,,,,,2,,,,,2,,,,120,0,0,0,0
"78-73-09-30","1976-001-01",34,2,,,,,,,,,,,1,5,4,2,,2,,,,24,0,0,6,0
"86-15-44-91","1994-001-03",60,1,30,10000,1,2,1,2,2,1,2,1,2,,,,,2,,,,45,0,0,15,0
