"interview__key","interview__id","cm_start","id_01","id_02","id_03","id_04","id_05","cm_a05","cm_gps__Latitude","cm_gps__Longitude","cm_gps__Accuracy","cm_gps__Altitude","cm_gps__Timestamp","cm_a17","cm_a18","cm_a19","cm_a20","cm_a21","cm_a22","cm_a23","cm_a24","cm_a25"
"00-25-04-46","918880d8725c48aabce7739fa26ff405","2021-08-17T11:20:42",12,128,272,3,4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-08-17T08:23:38",1,1,1,1,1,1,1,4,4
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6","2021-07-20T09:15:29",7,71,282,7,36,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-07-20T06:15:52",1,4,4,1,4,3,3,3,4
"01-24-57-16","e51172cd58354d39b05cb8507c812f77","2021-10-12T13:51:31",9,97,43,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-10-12T10:52:21",1,1,1,1,4,3,3,3,4
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4","2021-09-28T10:52:45",6,65,83,1,305,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-09-28T13:42:06",1,1,1,1,4,2,4,4,4
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945","2021-10-27T13:17:08",2,23,182,4,3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-10-27T10:38:33",1,4,4,1,4,3,3,3,4
"02-08-04-64","67565d353675441b9a3710964108a6c2","2021-08-27T11:02:50",1,15,231,1,13,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-08-27T08:05:10",1,1,1,1,4,3,3,4,4
"02-13-48-87","81c3b588f9ba4006982758f870f2f813","2021-11-09T08:58:35",53,532,242,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-11-09T06:48:09",4,4,4,4,1,4,4,1,4
"02-42-01-91","0e4926dd925f4959a0a2ba9fcf76f4b1","2021-10-25T09:45:21",2,23,1632,5,3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-10-25T06:44:35",1,1,1,1,4,3,3,3,1
"02-47-01-60","5547333a50e842c3b7f5e0d596c94105","2021-05-25T10:48:35",18,188,11,6,7,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-05-25T07:43:12",1,1,1,4,4,4,3,3,4
"02-66-66-02","eea4ad4f966f47d683df307558202d6a","2021-05-24T10:19:17",8,81,11,3,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","2021-05-24T07:19:34",1,1,1,1,4,3,3,3,4
