"interview__key","interview__id","service_id","cm_b01","cm_b02","cm_b03","cm_b04"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",1,,400,5,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",2,,400,5,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",3,1,,200,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",4,1,,200,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",5,1,,4,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",6,1,,2,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",7,1,,3,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",8,1,,2,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",9,2,400,5,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",10,1,,3,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",11,2,400,6,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",12,1,,100,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",13,2,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",14,1,,50,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",15,1,,5,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",16,1,,300,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",17,1,,20,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",18,1,,300,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",19,1,,1,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",20,1,,0,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",21,1,,500,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",22,1,,500,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",23,1,,500,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",24,2,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",25,2,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",26,2,400,5,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",27,2,400,5,"**CONFIDENTIAL**"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",28,2,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",29,2,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",30,2,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",31,1,,100,"**CONFIDENTIAL**"
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",1,,500,3,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",2,,300,5,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",3,1,,1,"**CONFIDENTIAL**"
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",4,1,,1,"**CONFIDENTIAL**"
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",5,1,,0.2,"**CONFIDENTIAL**"
