"interview__key","interview__id","event_id","cm_d04","cm_d05m","cm_d05y","cm_d06","cm_d07"
"00-25-04-46",,1,0,,,,
"00-25-04-46",,2,0,,,,
"00-25-04-46",,3,0,,,,
"01-06-47-85",,1,0,,,,
"01-06-47-85",,2,0,,,,
"01-06-47-85",,3,0,,,,
"01-24-57-16",,1,0,,,,
"01-24-57-16",,2,0,,,,
"01-24-57-16",,3,0,,,,
"01-72-20-39",,1,0,,,,
"01-72-20-39",,2,0,,,,
"01-72-20-39",,3,0,,,,
"01-82-05-19",,1,0,,,,
"01-82-05-19",,2,0,,,,
"01-82-05-19",,3,0,,,,
"02-08-04-64",,1,0,,,,
"02-08-04-64",,2,0,,,,
"02-08-04-64",,3,0,,,,
"02-13-48-87",,1,0,,,,
"02-13-48-87",,2,0,,,,
"02-13-48-87",,3,0,,,,
"02-42-01-91",,1,0,,,,
"02-42-01-91",,2,0,,,,
"02-42-01-91",,3,0,,,,
"02-47-01-60",,1,0,,,,
"02-47-01-60",,2,0,,,,
"02-47-01-60",,3,0,,,,
"02-66-66-02",,1,0,,,,
"02-66-66-02",,2,0,,,,
"02-66-66-02",,3,0,,,,
"03-22-58-12",,1,0,,,,
"03-22-58-12",,2,0,,,,
"03-22-58-12",,3,0,,,,
"03-45-67-62",,1,0,,,,
"03-45-67-62",,2,0,,,,
"03-45-67-62",,3,0,,,,
"03-46-31-84",,1,0,,,,
"03-46-31-84",,2,0,,,,
"03-46-31-84",,3,0,,,,
"03-56-36-64",,1,0,,,,
"03-56-36-64",,2,0,,,,
"03-56-36-64",,3,0,,,,
"03-77-08-35",,1,0,,,,
"03-77-08-35",,2,0,,,,
"03-77-08-35",,3,0,,,,
"03-98-19-33",,1,0,,,,
"03-98-19-33",,2,0,,,,
"03-98-19-33",,3,0,,,,
"04-16-80-99",,1,0,,,,
"04-16-80-99",,2,0,,,,
"04-16-80-99",,3,0,,,,
"04-20-86-53",,1,0,,,,
"04-20-86-53",,2,0,,,,
"04-20-86-53",,3,0,,,,
"04-31-96-12",,1,0,,,,
"04-31-96-12",,2,0,,,,
"04-31-96-12",,3,0,,,,
"04-49-66-61",,1,0,,,,
"04-49-66-61",,2,0,,,,
"04-49-66-61",,3,0,,,,
"04-72-35-98",,1,0,,,,
"04-72-35-98",,2,0,,,,
"04-72-35-98",,3,0,,,,
"05-18-84-95",,1,0,,,,
"05-18-84-95",,2,0,,,,
"05-18-84-95",,3,0,,,,
"05-21-82-83",,1,0,,,,
"05-21-82-83",,2,0,,,,
"05-21-82-83",,3,0,,,,
"05-51-66-23",,1,0,,,,
"05-51-66-23",,2,0,,,,
"05-51-66-23",,3,0,,,,
"05-55-20-57",,1,0,,,,
"05-55-20-57",,2,0,,,,
"05-55-20-57",,3,0,,,,
"05-55-54-25",,1,0,,,,
"05-55-54-25",,2,0,,,,
"05-55-54-25",,3,0,,,,
"05-96-73-20",,1,0,,,,
"05-96-73-20",,2,0,,,,
"05-96-73-20",,3,0,,,,
"06-05-50-78",,1,0,,,,
"06-05-50-78",,2,0,,,,
"06-05-50-78",,3,0,,,,
"06-37-03-07",,1,0,,,,
"06-37-03-07",,2,0,,,,
"06-37-03-07",,3,0,,,,
"06-47-61-53",,1,0,,,,
"06-47-61-53",,2,0,,,,
"06-47-61-53",,3,0,,,,
"06-95-26-82",,1,0,,,,
"06-95-26-82",,2,0,,,,
"06-95-26-82",,3,0,,,,
"06-95-53-32",,1,0,,,,
"06-95-53-32",,2,0,,,,
"06-95-53-32",,3,0,,,,
"06-96-70-64",,1,0,,,,
"06-96-70-64",,2,0,,,,
"06-96-70-64",,3,0,,,,
"07-12-97-68",,1,0,,,,
"07-12-97-68",,2,0,,,,
"07-12-97-68",,3,0,,,,
"07-19-26-64",,1,0,,,,
"07-19-26-64",,2,0,,,,
"07-19-26-64",,3,0,,,,
"07-73-19-27",,1,0,,,,
"07-73-19-27",,2,0,,,,
"07-73-19-27",,3,0,,,,
"07-89-96-52",,1,0,,,,
"07-89-96-52",,2,0,,,,
"07-89-96-52",,3,0,,,,
"08-20-01-66",,1,0,,,,
"08-20-01-66",,2,0,,,,
"08-20-01-66",,3,0,,,,
"08-26-26-27",,1,0,,,,
"08-26-26-27",,2,0,,,,
"08-26-26-27",,3,0,,,,
"08-52-73-98",,1,0,,,,
"08-52-73-98",,2,0,,,,
"08-52-73-98","1bb43407e5e14e4ea2f6a12758f985b5",3,1,,,1,1250000
"09-09-71-46",,1,0,,,,
"09-09-71-46",,2,0,,,,
"09-09-71-46",,3,0,,,,
"09-18-23-46",,1,0,,,,
"09-18-23-46",,2,0,,,,
"09-18-23-46",,3,0,,,,
"09-74-42-02",,1,0,,,,
"09-74-42-02",,2,0,,,,
"09-74-42-02",,3,0,,,,
"09-98-78-45",,1,0,,,,
"09-98-78-45",,2,0,,,,
"09-98-78-45",,3,0,,,,
"10-00-56-46",,1,0,,,,
"10-00-56-46",,2,0,,,,
"10-00-56-46",,3,0,,,,
"10-15-01-02",,1,0,,,,
"10-15-01-02",,2,0,,,,
"10-15-01-02",,3,0,,,,
"10-61-60-35",,1,0,,,,
"10-61-60-35",,2,0,,,,
"10-61-60-35",,3,0,,,,
"11-26-46-52",,1,0,,,,
"11-26-46-52",,2,0,,,,
"11-26-46-52",,3,0,,,,
"11-28-44-98",,1,0,,,,
"11-28-44-98",,2,0,,,,
"11-28-44-98",,3,0,,,,
"11-62-61-27",,1,0,,,,
"11-62-61-27",,2,0,,,,
"11-62-61-27",,3,0,,,,
"12-34-68-20",,1,0,,,,
"12-34-68-20",,2,0,,,,
"12-34-68-20",,3,0,,,,
"12-43-07-80",,1,0,,,,
"12-43-07-80",,2,0,,,,
"12-43-07-80",,3,0,,,,
"12-87-61-13",,1,0,,,,
"12-87-61-13",,2,0,,,,
"12-87-61-13",,3,0,,,,
"12-90-48-34",,1,0,,,,
"12-90-48-34",,2,0,,,,
"12-90-48-34",,3,0,,,,
"13-10-41-09",,1,0,,,,
"13-10-41-09",,2,0,,,,
"13-10-41-09",,3,0,,,,
"13-42-52-99",,1,0,,,,
"13-42-52-99",,2,0,,,,
"13-42-52-99",,3,0,,,,
"13-43-11-98",,1,0,,,,
"13-43-11-98",,2,0,,,,
"13-43-11-98",,3,0,,,,
"13-75-01-91",,1,0,,,,
"13-75-01-91",,2,0,,,,
"13-75-01-91",,3,0,,,,
"13-86-41-70",,1,0,,,,
"13-86-41-70",,2,0,,,,
"13-86-41-70",,3,0,,,,
"13-90-90-46",,1,0,,,,
"13-90-90-46",,2,0,,,,
"13-90-90-46",,3,0,,,,
"13-91-33-31",,1,0,,,,
"13-91-33-31",,2,0,,,,
"13-91-33-31",,3,0,,,,
"14-25-36-11",,1,0,,,,
"14-25-36-11",,2,0,,,,
"14-25-36-11",,3,0,,,,
"14-78-98-65",,1,0,,,,
"14-78-98-65",,2,0,,,,
"14-78-98-65",,3,0,,,,
"14-88-21-28",,1,0,,,,
"14-88-21-28",,2,0,,,,
"14-88-21-28",,3,0,,,,
"15-14-18-98",,1,0,,,,
"15-14-18-98",,2,0,,,,
"15-14-18-98",,3,0,,,,
"15-18-34-06",,1,0,,,,
"15-18-34-06",,2,0,,,,
"15-18-34-06",,3,0,,,,
"15-18-39-59",,1,0,,,,
"15-18-39-59",,2,0,,,,
"15-18-39-59",,3,0,,,,
"15-37-10-99",,1,0,,,,
"15-37-10-99",,2,0,,,,
"15-37-10-99",,3,0,,,,
"15-38-21-02",,1,0,,,,
"15-38-21-02",,2,0,,,,
"15-38-21-02",,3,0,,,,
"15-43-13-32",,1,0,,,,
"15-43-13-32",,2,0,,,,
"15-43-13-32",,3,0,,,,
"15-72-61-48",,1,0,,,,
"15-72-61-48",,2,0,,,,
"15-72-61-48",,3,0,,,,
"15-76-36-37",,1,0,,,,
"15-76-36-37",,2,0,,,,
"15-76-36-37",,3,0,,,,
"15-95-84-19",,1,0,,,,
"15-95-84-19",,2,0,,,,
"15-95-84-19",,3,0,,,,
"16-03-65-14",,1,0,,,,
"16-03-65-14",,2,0,,,,
"16-03-65-14",,3,0,,,,
"16-08-16-73",,1,0,,,,
"16-08-16-73",,2,0,,,,
"16-08-16-73",,3,0,,,,
"16-19-85-85",,1,0,,,,
"16-19-85-85",,2,0,,,,
"16-19-85-85",,3,0,,,,
"16-49-36-99",,1,0,,,,
"16-49-36-99",,2,0,,,,
"16-49-36-99",,3,0,,,,
"16-88-05-29",,1,0,,,,
"16-88-05-29",,2,0,,,,
"16-88-05-29",,3,0,,,,
"17-36-03-69",,1,0,,,,
"17-36-03-69",,2,0,,,,
"17-36-03-69",,3,0,,,,
"17-40-86-49",,1,0,,,,
"17-40-86-49",,2,0,,,,
"17-40-86-49",,3,0,,,,
"17-79-17-09",,1,0,,,,
"17-79-17-09",,2,0,,,,
"17-79-17-09",,3,0,,,,
"17-89-27-01",,1,0,,,,
"17-89-27-01",,2,0,,,,
"17-89-27-01",,3,0,,,,
"18-08-37-11",,1,0,,,,
"18-08-37-11",,2,0,,,,
"18-08-37-11",,3,0,,,,
"18-17-35-50",,1,0,,,,
"18-17-35-50",,2,0,,,,
"18-17-35-50",,3,0,,,,
"18-25-05-22",,1,0,,,,
"18-25-05-22",,2,0,,,,
"18-25-05-22",,3,0,,,,
"18-31-12-38",,1,0,,,,
"18-31-12-38",,2,0,,,,
"18-31-12-38",,3,0,,,,
"18-57-85-56",,1,0,,,,
"18-57-85-56",,2,0,,,,
"18-57-85-56",,3,0,,,,
"18-69-36-93",,1,0,,,,
"18-69-36-93",,2,0,,,,
"18-69-36-93",,3,0,,,,
"19-25-14-50",,1,0,,,,
"19-25-14-50",,2,0,,,,
"19-25-14-50",,3,0,,,,
"19-32-48-58",,1,0,,,,
"19-32-48-58",,2,0,,,,
"19-32-48-58",,3,0,,,,
"19-41-11-33",,1,0,,,,
"19-41-11-33",,2,0,,,,
"19-41-11-33",,3,0,,,,
"19-62-24-10",,1,0,,,,
"19-62-24-10",,2,0,,,,
"19-62-24-10",,3,0,,,,
"19-86-35-77",,1,0,,,,
"19-86-35-77",,2,0,,,,
"19-86-35-77",,3,0,,,,
"20-14-91-34",,1,0,,,,
"20-14-91-34",,2,0,,,,
"20-14-91-34",,3,0,,,,
"20-70-41-87",,1,0,,,,
"20-70-41-87",,2,0,,,,
"20-70-41-87",,3,0,,,,
"20-70-55-59",,1,0,,,,
"20-70-55-59",,2,0,,,,
"20-70-55-59",,3,0,,,,
"20-81-51-95",,1,0,,,,
"20-81-51-95",,2,0,,,,
"20-81-51-95",,3,0,,,,
"20-99-51-49",,1,0,,,,
"20-99-51-49",,2,0,,,,
"20-99-51-49",,3,0,,,,
"21-01-77-43",,1,0,,,,
"21-01-77-43",,2,0,,,,
