"interview__key","interview__id","cm_e01","cm_e02","cm_e03","cm_e04__1","cm_e04__2","cm_e04__3","cm_e04__4","cm_e05","cm_e06","cm_e07_1","cm_e07_2","cm_e08","cm_e09","cm_e10","cm_e11","cm_e12","cm_e13","cm_e14","cm_e15","cm_e16","cm_e17","cm_e18","cm_e19_b","cm_e19_c","cm_e20__1","cm_e20__2","cm_e20__3","cm_e20__4","cm_e20__5","cm_e20__6","cm_e20__7","cm_e20__8","cm_e20__9","cm_e20__10","cm_e20__11","cm_e20__12","cm_e21"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",2,,,,,,,1,6000,"MWANJERWA",6,6000,0,0,1,264,100,5,4,2,1,2,,,,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",2,,,,,,,2,,"MBEZI",2,2500,40,1000,2,,,2,4,1,3,2,,,,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",2,,,,,,,2,,"MASASI",13,3000,0,0,2,,,4,3,2,2,2,,,,,,,,,,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",1,1,40,0,1,0,1,1,2000,"NYATANGA",3,2000,20,50,1,200,107,3,2,3,1,2,,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",2,,,,,,,1,6000,"ARUSHA",12,6000,10,13,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",2,,,,,,,1,5000,"DODOMA MJINI",38,5000,0,4,2,,,4,2,1,4,1,1,16,0,0,0,0,0,0,0,0,1,0,0,0,2
"02-13-48-87","81c3b588f9ba4006982758f870f2f813",2,,,,,,,2,,"KWA HAJITUMBO",3,6000,7,4,2,,,1,4,3,2,2,,,,,,,,,,,,,,,
"02-42-01-91","0e4926dd925f4959a0a2ba9fcf76f4b1",2,,,,,,,1,6000,"ARUSHA",5,6000,22,26,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"02-47-01-60","5547333a50e842c3b7f5e0d596c94105",1,1,180,0,0,0,1,2,,"ISINGIRO",13,6000,0,5,2,,,1,1,1,1,1,18,188,0,0,0,0,0,0,0,1,1,1,0,0,1
"02-66-66-02","eea4ad4f966f47d683df307558202d6a",1,1,500,1,1,0,1,2,,"NJIA NNE",8,5000,4,5,1,500,200,2,3,2,2,2,,,,,,,,,,,,,,,
"03-22-58-12","a276a7cd34714b13a398b24552128770",2,,,,,,,1,6000,"ARUSHA",4,6000,10,7,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"03-45-67-62","17f44b30f5cd405eb90778c7156592d6",2,,,,,,,2,,"ARUSHA MJINI",7,6000,0,25,2,,,2,1,1,1,2,,,,,,,,,,,,,,,
"03-46-31-84","6abc63d603c54c8fbce3495dce08f5ed",1,1,110,0,1,0,0,2,,"MWANHUNZI MEATU",15,12000,7,3,2,,,5,5,4,2,1,13,133,0,0,0,0,0,0,1,1,1,0,0,0,2
"03-56-36-64","bc9b40a668f6400e8f1d47278a5bb5fa",2,,,,,,,2,,"TGETAT",15,5000,0,50,2,,,2,2,1,2,2,,,,,,,,,,,,,,,
"03-77-08-35","e9fceece00044393aa812fcded6a8216",2,,,,,,,1,6000,"TABORA",25,6000,7,5,2,,,5,5,1,3,1,16,163,0,0,0,0,1,1,1,1,0,0,0,0,2
"03-98-19-33","2af74dc3885e42718aa0a5bed9b7b3cb",1,2,250,0,1,0,1,2,,"MASASI",23,12000,10,30,2,,,3,2,3,3,2,,,,,,,,,,,,,,,
"04-16-80-99","3488dabcb0f0414e85b0892e08bd35a7",1,1,11,1,1,0,0,2,,"MUSOMA MJINI",52,6000,5,8,2,,,3,4,2,2,2,,,,,,,,,,,,,,,
"04-20-86-53","b5288b868ad24efe9dd1d38a55b8ef05",2,,,,,,,2,,"MNAZIMMOJA",4,4000,300,200,2,,,3,3,2,3,2,,,,,,,,,,,,,,,
"04-31-96-12","4b4b853fb39446949bae0db4e452fd68",2,,,,,,,2,,"MAILLI MOJA",2,1000,10,50,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"04-49-66-61","bfa1cc2538de4ccd873475195e0d1f31",2,,,,,,,2,,"BUZA",2,2500,20,30,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"04-72-35-98","92b9570f94b14e3ba9515e71d493138d",2,,,,,,,1,6500,"NZUGUNI",2,6500,,,2,,,2,3,2,3,2,,,,,,,,,,,,,,,
"05-18-84-95","ad90d4901f254f99a3c8f108225fb490",1,1,400,0,1,0,1,2,,"TANDAHIMBA",16,150000,0,0,2,,,2,3,4,4,2,,,,,,,,,,,,,,,
"05-21-82-83","478ae41fc1214b62b19ae0154060633b",2,,,,,,,2,,"0",0,0,20,10,2,,,4,4,4,4,2,,,,,,,,,,,,,,,
"05-51-66-23","4833c9f491c54adbb73fe05846484934",2,,,,,,,1,6000,"KASANDA",0,6000,0,0,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"05-55-20-57","c51527bf510e483796d30dadec0ff31c",2,,,,,,,2,,"GONGO LA MBOTO",3,6500,,,2,,,1,3,1,3,2,,,,,,,,,,,,,,,
"05-55-54-25","f90128b15fd84712b23da52ea102218d",2,,,,,,,2,,"NYAROMBO",2,5000,5,3,2,,,2,3,2,3,2,,,,,,,,,,,,,,,
"05-96-73-20","6455054c25784852a537e4751f8f435b",2,,,,,,,2,,"BUZA",3,6500,,,2,,,1,3,1,3,2,,,,,,,,,,,,,,,
"06-05-50-78","60193fdc4caa4cdb9fde1514af28d7ce",2,,,,,,,2,,"MAJANI MAPANA",2,6500,,37,2,,,3,3,1,3,2,,,,,,,,,,,,,,,
"06-37-03-07","5b8bf508d5f348ebb1c1036d8b835f2d",1,1,20,0,0,0,0,1,500,"KIDANDALA",2,700,0,0,2,,,1,3,1,4,2,,,,,,,,,,,,,,,
"06-47-61-53","a7040ead2d704226862bb5fb5c8b8d7b",1,2,30,1,1,1,0,1,6000,"KIJIJI CHA NATA",4,6000,,,2,,,1,3,1,3,2,,,,,,,,,,,,,,,
"06-95-26-82","803d457b03ca4e4b801d8304104f4fb9",2,,,,,,,2,,"NYAKANAZI",28,6000,6,9,2,,,5,5,1,5,2,,,,,,,,,,,,,,,
"06-95-53-32","23a3d549fce64c1c8b5d098295e3c663",2,,,,,,,1,6500,"MADIBILA",14,6500,5,9,2,,,5,5,3,2,1,12,122,0,0,0,0,0,0,0,0,1,1,1,0,2
"06-96-70-64","99075a0d1bc24d8a92e75019bd11180f",2,,,,,,,1,6500,"MZIRO",14,6500,6,7,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"07-12-97-68","bd4828f9b20c4f6abfe4a359eada7e21",2,,,,,,,2,,"KIJIJI CHA CHIKUYU",0.2,6000,0,0,2,,,5,5,1,1,1,13,133,0,0,0,0,0,0,0,0,0,1,1,0,2
"07-19-26-64","778379d74dd544b4b83aaef828e357f7",2,,,,,,,2,,"IGOMA",3,6500,,,2,,,1,3,1,3,2,,,,,,,,,,,,,,,
"07-73-19-27","8413b3343ec241268771b9ac10d4dae3",2,,,,,,,2,,"YOMBO VITUKO",2,6000,,,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"07-89-96-52","9f4c62c6c3244f098bec2ef1896d8f9f",2,,,,,,,1,5000,"NANSIO",1,5000,51,42,1,211,53,3,3,1,4,2,,,,,,,,,,,,,,,
"08-20-01-66","db325630a8554f86bb31812f0648565c",2,,,,,,,2,,"BUKOBA MJINI",33,3000,0,0,2,,,5,4,3,4,2,,,,,,,,,,,,,,,
"08-26-26-27","224b985bcd714f44b069395222104432",2,,,,,,,2,,"MUSOMA MJINI",4,12000,60,85,2,,,1,3,1,3,2,,,,,,,,,,,,,,,
"08-52-73-98","1bb43407e5e14e4ea2f6a12758f985b5",2,,,,,,,1,6000,"USEVYA",21,3000,8,21,2,,,3,2,3,3,1,15,153,1,1,1,0,0,0,0,0,0,0,0,0,1
"09-09-71-46","71da491d04b1463f9ceb2f507d06c95b",2,,,,,,,2,,"PANGANI",51,6000,5,5,2,,,4,4,2,4,1,6,65,0,0,0,0,0,0,1,1,1,1,0,0,1
"09-18-23-46","c0fe40a20d5b4b8e9805ac27c298d232",2,,,,,,,2,,"MAKOLE",3,5500,0,0,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"09-74-42-02","fc3cef654e724c1db32acc3c4835be79",2,,,,,,,2,,"PAMBA MITIMIREFU",5500,0,20,56,2,,,2,2,3,2,2,,,,,,,,,,,,,,,
"09-98-78-45","3a6d3e7985e74f4c9c54205cf0d7f0b3",2,,,,,,,2,,"KARIA KOO",9,2500,12,36,2,,,1,1,1,3,2,,,,,,,,,,,,,,,
"10-00-56-46","effc522e23ae4a4db5e3fe6168d59c75",2,,,,,,,1,6000,"KAYANGA",0.5,6000,30,50,1,4000,4000,2,2,2,1,2,,,,,,,,,,,,,,,
"10-15-01-02","230bbd21e5b34515986c4712d05ca38c",2,,,,,,,2,,"ZAKIEMU",4,2000,70,70,2,,,3,4,2,4,2,,,,,,,,,,,,,,,
"10-61-60-35","fa98de2ff33844f0addbe2bb58f41480",2,,,,,,,1,12000,"MUHIDA CENTER",1,6000,17,5,2,,,4,4,1,2,1,5,55,0,0,0,0,0,0,0,1,1,1,0,0,2
"11-26-46-52","20c9a373da7c4e32989e614f0db9e7e8",1,1,20,0,1,0,0,2,,"MARUHUBI",16,7000,17,23,2,,,1,4,1,4,2,,,,,,,,,,,,,,,
"11-28-44-98","0990139eeaa64c7da10c16d8cd89826c",2,,,,,,,1,6000,"BUZURUGA",0.8,6000,113,131,2,,,1,4,2,4,2,,,,,,,,,,,,,,,
"11-62-61-27","8e9b2ad8a66f47669ede1506088e9fcd",2,,,,,,,2,,"DIRMA",3.5,6000,2,2,2,,,3,2,2,2,1,1,11,1,1,1,1,1,1,0,0,0,0,0,0,2
"12-34-68-20","1262ffb3f7c24d3f8bcfe3e27c76c33e",2,,,,,,,2,,"KARIAKOO",6,2000,200,200,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"12-43-07-80","b6946418f07e4feeaa4ed83dd4a67542",2,,,,,,,2,,"MWANJELWA",4,6000,3,0,2,,,5,4,1,3,2,,,,,,,,,,,,,,,
"12-87-61-13","486c019ffbda4c5aa98114aa9bdb81fc",2,,,,,,,1,6000,"KIJIJI HIKI CHA MAJENGO",0.5,6000,12,41,1,107,42,,,1,2,2,,,,,,,,,,,,,,,
"12-90-48-34","61e9dde626924887a8acd2fd4583d0ee",2,,,,,,,2,,"MARUHUBI",7,8000,6,10,1,110,64,3,3,1,2,2,,,,,,,,,,,,,,,
"13-10-41-09","3d15d079ce3347dcbd443b7eaaf65426",2,,,,,,,2,,"MARUHUBI",10,2000,6,5,2,,,1,3,2,4,2,,,,,,,,,,,,,,,
"13-42-52-99","25168cf5198a4bbf863b5011fe0596bb",2,,,,,,,2,,"MOROGORO MJINI",4,12,15,10,2,,,4,3,3,3,2,,,,,,,,,,,,,,,
"13-43-11-98","47e5a514e372463581b9df8779aabf31",2,,,,,,,1,6000,"MBULU",1,6000,25,20,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
