"interview__key","id_01","id_02","id_03","id_04","id_05","cmf01","cmf02","cmf03","cmf04","cmf05","village_gps__Latitude","village_gps__Longitude","village_gps__Altitude","village_gps__Timestamp","village_source","village_source_os","district_gps__Latitude","district_gps__Longitude","district_gps__Altitude","district_gps__Timestamp","district_source","district_source_os"
"00-25-04-46",12,128,272,3,4,12,122,72,2,9,"**CONFIDENTIAL**","**CONFIDENTIAL**",1590,"2021-08-16T12:23:47",1,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
"01-06-47-85",7,71,282,7,36,7,71,162,2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",109,"2021-07-20T08:26:10",1,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
"01-24-57-16",9,97,43,2,2,9,97,52,1,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",415,"2021-10-13T07:22:56",1,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
"01-72-20-39",6,65,83,1,305,,69,,,,"**CONFIDENTIAL**","**CONFIDENTIAL**",138,"2021-09-28T10:43:03",1,,"**CONFIDENTIAL**","**CONFIDENTIAL**",141,"2021-09-28T10:43:50",1,
"01-82-05-19",2,23,182,4,3,,,,,,"**CONFIDENTIAL**","**CONFIDENTIAL**",1369,"2021-10-28T14:09:52",2,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
"02-08-04-64",1,15,231,1,13,1,15,32,4,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1103,"2021-08-27T08:32:34",2,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
"02-13-48-87",53,532,242,2,2,53,532,132,3,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",-31.0496826171875,"2021-11-09T06:51:16",2,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
"02-42-01-91",2,23,1632,5,3,2,23,32,4,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1375,"2021-10-26T09:07:40",1,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
"02-47-01-60",18,188,11,6,7,18,188,91,1,9,"**CONFIDENTIAL**","**CONFIDENTIAL**",1326,"2021-05-25T09:09:31",2,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
"02-66-66-02",8,81,11,3,1,8,81,183,2,301,"**CONFIDENTIAL**","**CONFIDENTIAL**",-53,"2021-05-24T09:37:16",2,,"**CONFIDENTIAL**","**CONFIDENTIAL**",,,,
