"interview__key","interview__id","item_id","obs_id","vil_item_avail","vil_unit_start","vil_loc_unit","vil_loc_unit_os","vil_loc_weight","vil_loc_price","vil_loc_photo","dist_item_avail","dist_unit_start","dist_loc_unit","dist_loc_unit_os","dist_loc_weight","dist_loc_price","dist_loc_photo"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",1,1,1,1,6,,667,800,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",1,2,1,1,10,,958,1200,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",1,3,1,2,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",2,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",2,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",2,3,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",3,1,1,1,2,,342,500,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",3,2,1,1,10,,756,1000,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",3,3,1,1,10,,1821,2000,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",4,1,1,1,1,,80,100,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",4,2,1,1,2,,300,500,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",4,3,1,2,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",5,1,1,1,2,,382,500,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",5,2,1,1,2,,292,300,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",5,3,1,1,2,,171,200,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",6,1,1,1,6,,620,1000,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",6,2,1,2,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",6,3,1,2,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",7,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",7,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",7,3,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",8,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",8,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",8,3,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",9,1,1,1,1,,231,500,"** PHOTO **",,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",9,2,1,2,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",9,3,1,2,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",10,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",10,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",10,3,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",11,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",11,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",11,3,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",12,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",12,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",12,3,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",13,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",13,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",13,3,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",14,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",14,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",14,3,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",15,1,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",15,2,2,,,,,,,,,,,,,
"00-25-04-46","918880d8725c48aabce7739fa26ff405",15,3,2,,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",1,1,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",1,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",1,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",2,1,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",2,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",2,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",3,1,1,1,2,,0.37,500,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",3,2,1,1,2,,0.72,1000,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",3,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",4,1,1,1,2,,0.25,500,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",4,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",4,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",5,1,1,1,2,,0.52,500,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",5,2,1,1,1,,0.07,100,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",5,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",6,1,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",6,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",6,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",7,1,1,1,2,,0.75,500,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",7,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",7,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",8,1,1,1,1,,0.52,500,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",8,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",8,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",9,1,1,1,1,,0.35,500,"** PHOTO **",,,,,,,
