"y4_hhid","cluster","strata","hhweight","region","district","ward","village","ea","month","quarter","urban","area","mainland","femalehead","hhsize","adulteq","intyear","intmonth","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"1400-001",70202204160,1,3372.255859375,7,2,22,6,8,1,1,2,1,1,0,9,7.91999998688698,2014,10,560000,1385200,95000,2808000,720000,0,426000,174204.473338852,850843.875,7808200,1877200,4819000,143000,21666648,0.997479379177094,75820.5625,18228.318359375,46794.3046875,1388.58386230469,5437.810546875,13450.8134765625,922.485717773438,27266.736328125,6991.470703125,0,4136.6201171875,1691.59094238281,8262.0146484375,210391.3125
"1135-001",70104203264,1,2723.28051757813,7,1,42,2,38,1,1,2,1,1,0,6,5.39999997615814,2014,10,167500,412000,158000,1144000,720000,0,300000,79038.0721971981,1106849.625,1885000,3473600,82000,234000,9761988,0.997479379177094,26845.953125,49470.61328125,1167.83459472656,3332.60107421875,2385.51586914063,5867.65673828125,2250.2177734375,16292.716796875,10254.1572265625,0,4272.5654296875,1125.65112304688,15763.625,139029.109375
"1478-001",70214205440,1,997.271728515625,7,2,142,2,14,3,1,2,1,1,0,3,2.35999998450279,2014,12,2700000,2286000,1476000,7800000,2976000,100000,384000,766224.707292821,11328000,2234440,416000,0,260000,32726664,0.997479379177094,72814.5078125,13556.34375,0,8472.71484375,87985.8828125,74494.71875,48098.94921875,254181.4375,96980,3258.73657226563,12513.5478515625,24969.244140625,369149.65625,1066475.75
"1140-001",70104203264,1,2723.28051757813,7,1,42,2,38,1,1,2,1,1,0,5,4.43999999761581,2014,10,142000,888000,115000,0,360000,0,162000,29336.5498053755,360000,2340000,2636400,392300,89700,7514736.5,0.997479379177094,40531.63671875,45665.64453125,6795.111328125,1553.71264648438,2459.61206054688,15381.236328125,1991.93933105469,0,6235.63623046875,0,2806.03637695313,508.144592285156,6235.63623046875,130164.34375
"1139-001",70104203264,1,2723.28051757813,7,1,42,2,38,1,1,2,1,1,0,3,2.28000000119209,2014,10,189000,1342400,24000,145600,360000,2000,126000,19453.3039436064,360000,2750800,1830400,0,65000,7214653.5,0.997479379177094,92786.6328125,61740.8203125,0,2192.50073242188,6375.11767578125,45280.19921875,809.538757324219,4911.20166015625,12143.0810546875,67.4615631103516,4250.07861328125,656.175109863281,12143.0810546875,243355.890625
"1136-001",70104203264,1,2723.28051757813,7,1,42,2,38,1,1,2,1,1,0,3,2.28000000119209,2014,10,454000,978000,108800,104000,251640,0,111600,76276.0432170548,480000,1358240,962000,0,91000,4975556,0.997479379177094,45814.49609375,32449.01171875,0,3069.5009765625,15313.7744140625,32988.703125,3669.90893554688,3508.00122070313,8488.013671875,0,3764.35522460938,2572.8505859375,16190.7744140625,167829.390625
"1638-001",70311206912,1,3324.23876953125,7,3,112,11,1,1,1,2,1,1,1,5,3.63999998569489,2014,10,340000,636800,136000,520000,90000,0,387600,24398.4192315422,180000,1604200,1684800,390000,130000,6123798.5,0.997479379177094,33893.65234375,35596.57421875,8239.9482421875,2746.6494140625,7183.54443359375,13454.35546875,2873.41772460938,10986.59765625,1901.52648925781,0,8189.24072265625,515.491577148438,3803.05297851563,129384.0546875
"1134-001",70104203264,1,2723.28051757813,7,1,42,2,38,1,1,2,1,1,0,7,6.8400000333786,2014,10,70000,1362000,148000,2500000,600000,0,323000,374977.819861551,1760249.375,2602600,3764800,3647000,32500,17185128,0.997479379177094,29262.576171875,42329.8828125,41005.38671875,365.416778564453,787.051574707031,15313.7744140625,1664.05187988281,28108.984375,6746.15625,0,3631.6806640625,4216.09814453125,19791.529296875,193222.59375
"1133-001",70104203264,1,2723.28051757813,7,1,42,2,38,1,1,2,1,1,0,1,1,2014,10,18000,180000,0,60000,180000,0,39600,32122.1644812857,240000,0,1825200,0,0,2574922.25,0.997479379177094,0,140369.15625,0,0,1384.31127929688,13843.1123046875,0,4614.37060546875,13843.1123046875,0,3045.48461914063,2470.39306640625,18457.482421875,198027.4375
"1673-001",70317203456,1,2401.39038085938,7,3,172,4,24,2,1,2,1,1,0,3,2.43999999761581,2014,11,72000,731200,18000,124800,240000,0,123600,20775.7974358728,219342.84375,1076400,1471600,0,78000,4175718.5,0.997479379177094,33926.97265625,46383.25,0,2458.47631835938,2269.36279296875,23046.638671875,567.340698242188,3933.56201171875,7564.54248046875,0,3895.7392578125,654.830810546875,6913.45068359375,131614.15625
