"y5_hhid","booster","cluster","strata","hhweight2","urban","area","region","district","month","quarter","mainland","femalehead","hhsize","adulteq","intyear","intmonth","hhweight_pan","hhweight","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"1230-001-01",0,70116204544,1,783.8681640625,2,1,7,71,1,1,1,0,4,3.60000002384186,2020,12,679.412780761719,783.8681640625,0,9845200,0,62400,180000,0,250000,365269.729953424,1118441.625,0,8221200,0,780000,20822512,1.10870146751404,0,158009.515625,0,14991.416015625,0,189222.421875,0,1199.31323242188,3459.55737304688,0,4804.94091796875,7020.39794921875,21496.18359375,400203.75
"1210-001-01",0,70114197504,1,7803.53173828125,2,1,7,71,2,1,1,0,6,5.19999998807907,2021,2,7454.68798828125,7803.53173828125,627000,670400,0,0,180000,0,306000,420048.415302971,1379669.25,7516600,234000,880500,0,12214217,1.10870146751404,100015.8046875,3113.60180664063,11715.9248046875,0,8342.85546875,8920.3359375,0,0,2395.07836914063,0,4071.63305664063,5589.16015625,18357.865234375,162522.25
"1249-001-01",0,70119202816,1,3071.58618164063,2,1,7,71,2,1,1,0,4,3.43999999761581,2021,2,3132.05004882813,3071.58618164063,280000,804000,18000,1872000,360000,0,312000,148860.233628114,840000,394160,4030000,570000,0,9629020,1.10870146751404,7928.0185546875,81058.234375,11464.8125,0,5631.837890625,16171.419921875,362.046722412109,37652.859375,7240.93408203125,0,6275.4765625,2994.13110351563,16895.513671875,193675.28125
"1253-001-01",0,70119202816,1,2179.73583984375,2,1,7,72,2,1,1,1,4,3.15999999642372,2021,2,1982.06018066406,2179.73583984375,380000,413200,12000,312000,60000,0,536000,21939.1805897701,360000,2241200,338000,180000,156000,5010339,1.10870146751404,49073.1640625,7400.82568359375,3941.26806640625,3415.765625,8320.455078125,9047.3994140625,262.751190185547,6831.53125,1313.75598144531,0,11736.220703125,480.378845214844,7882.5361328125,109706.046875
"1291-001-01",0,70123208704,1,1843.32971191406,2,1,7,71,3,1,1,0,5,4.60000002384186,2021,3,1724.0595703125,1843.32971191406,350000,1118800,122000,416000,300000,0,390000,689698.105743843,1936813,3107000,3541200,2024000,97500,14093011,1.10870146751404,46734.109375,53265.15234375,30444.10546875,1466.55151367188,5264.5439453125,16828.490234375,1835.06958007813,6257.28662109375,4512.46630859375,0,5866.2060546875,10374.1318359375,29132.677734375,211980.78125
"1294-001-01",0,70123208704,1,2309.09033203125,2,1,7,71,3,1,1,0,3,2.28000000119209,2021,3,2402.21459960938,2309.09033203125,281000,806000,0,0,360000,0,236400,400424.624744488,2040000,3645200,260000,0,767000,8796024,1.10870146751404,110620.8671875,7890.21875,0,23276.14453125,8527.505859375,24459.677734375,0,0,10924.91796875,0,7174.02978515625,12151.6845703125,61907.87109375,266932.90625
"1304-001-01",0,70126198784,1,2529.82470703125,2,1,7,74,3,1,1,1,1,0.879999995231628,2021,3,2431.466796875,2529.82470703125,0,210000,0,156000,30000,0,102000,56210.3636479399,659677.375,0,1716000,0,0,2929887.5,1.10870146751404,0,134922.734375,0,0,0,16511.5234375,0,12265.7041015625,2358.78930664063,0,8019.88330078125,4419.61328125,51867.99609375,230366.234375
"1309-001-01",0,70126198784,1,2948.81713867188,2,1,7,74,2,1,1,0,8,6.68000003695488,2021,2,2590.17602539063,2948.81713867188,605000,670400,154000,2140000,240000,0,545000,343338.451108521,319588.03125,10400000,2444000,60000,0,17921326,1.10870146751404,107722.75,25314.845703125,621.477355957031,0,6266.5634765625,6943.97412109375,1595.12524414063,22166.02734375,2485.90942382813,0,5645.08642578125,3556.28466796875,3310.27880859375,185628.3125
"1331-001-01",0,70128205824,1,824.028747558594,2,1,7,74,3,1,1,1,4,3.63999998569489,2021,3,965.720397949219,824.028747558594,125000,515200,37000,360000,360000,0,366000,1303233.25344644,1610354.75,3465800,0,1500000,455000,10097588,1.10870146751404,65879.859375,0,28512.8359375,8648.8935546875,2376.06958007813,9793.208984375,703.316650390625,6843.08056640625,6843.08056640625,0,6957.1318359375,24772.583984375,30610.521484375,191940.578125
"1342-001-01",0,70129205248,1,969.459045410156,2,1,7,71,1,1,1,0,6,4.99999997019768,2020,12,1052.46081542969,969.459045410156,142000,437200,0,0,60000,0,216000,88533.5281259873,778053.75,2509000,728000,1190000,0,6148787,1.10870146751404,34720.1171875,10074.2314453125,16467.494140625,0,1965.02868652344,6050.07421875,0,0,830.293823242188,0,2989.0576171875,1225.14733886719,10766.88671875,85088.328125
