"interview__key","y5_hhid","y4_hhid","indidy5","hh_b01","hh_b02","hh_b03_1","hh_b03_2","hh_b04","hh_b05","hh_b06","hh_b07","hh_b08","hh_b09_1","hh_b0a","hh_b0b","hh_b10","hh_b11","hh_b12_1","hh_b12_2","hh_b13","hh_b14","hh_b15_1","hh_b15_2","hh_b16","hh_b17","hh_b18","hh_b19","hh_b20","hh_b21_1","hh_b21_2","hh_b21_3","hh_b21_4","hh_b22","hh_b23_1","hh_b23_2","hh_b23_3","hh_b23_4","hh_b24","hh_b25","hh_b26","hh_b27_2","hh_b27_3","hh_b28","hh_b29_2","hh_b29_3"
"39-26-37-98","1000-001-01","1000-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",74,1,1,1,31,1,1,,0,1,98,,63,1,98,,56,1,1,7,,,,,,,,,,,,,60,2,22,5,2,22
"39-26-37-98","1000-001-01","1000-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",44,3,3,1,31,1,1,,0,1,96,1,,,98,,20,2,1,5,,,,,,,,,,,,,99,,,,,
"39-26-37-98","1000-001-01","1000-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",35,3,5,2,0,1,2,3,4,7,96,1,,,98,,12,2,1,4,,,,,,,,,,,,,99,,,,,
"39-26-37-98","1000-001-01","1000-001",7,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",9,6,99,1,31,1,2,3,0,14,96,5,,,97,,,3,2,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02","1000-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",47,1,2,1,31,1,1,,0,1,97,,,2,98,,20,1,1,6,,,,,,,,,,,,,99,,,,,
"97-90-78-65","1000-001-03","1000-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",36,1,4,1,31,1,1,,1,10,97,,,2,98,,17,8,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"97-90-78-65","1000-001-03","1000-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",42,2,99,1,31,1,1,,0,11,98,,21,2,97,,,2,1,1,2,2,,,,1,1,,,,2,,2,3,35,3,3,35
"97-90-78-65","1000-001-03","1000-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",21,3,99,1,31,1,1,,0,16,97,,,8,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"97-90-78-65","1000-001-03","1000-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,1,,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03","1000-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,2,1,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
