"interview__key","y5_hhid","indidy5","hh_c01","hh_c01_1","hh_c01_2","hh_c02","hh_c03","hh_c03_1","hh_c04","hh_c05","hh_c05a","hh_c06","hh_c07","hh_c08","hh_c09","hh_c10","hh_c11","hh_c12","hh_c13","hh_c14","hh_c15","hh_c16","hh_c17","hh_c18","hh_c19","hh_c20_1","hh_c20_2","hh_c21_1","hh_c21_2","hh_c22","hh_c23","hh_c24","hh_c25","hh_c26","hh_c27","hh_c28_0","hh_c28_1","hh_c28_2","hh_c28_3","hh_c28_4","hh_c28_5","hh_c28_6","hh_c28_7","hh_c28_8","hh_c29","hh_c30","hh_c01_3"
"39-26-37-98","1000-001-01",1,1,1,,1,1,,11,2,1,2,15,1963,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,1
"39-26-37-98","1000-001-01",3,1,1,,1,1,,7,2,1,2,18,1991,,,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,4,,1
"39-26-37-98","1000-001-01",5,1,2,3,1,1,,7,2,1,2,18,2000,,,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,4,,
"39-26-37-98","1000-001-01",7,1,2,3,1,1,,5,1,,,,,14,13,1,1,2,1,30,2,1,3,2,0,0,1,,,,,,,,2,,,,,,,,30000,,,
"04-06-65-04","1000-001-02",1,1,1,,1,1,,13,2,8,2,17,1987,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,1
"97-90-78-65","1000-001-03",1,1,1,,1,1,,13,2,5,2,18,1997,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,4,,1
"97-90-78-65","1000-001-03",2,1,1,,1,1,,10,2,5,2,18,1994,,,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,4,,1
"97-90-78-65","1000-001-03",4,1,2,1,1,1,,9,2,1,2,24,2018,,,2,,,,,,,,,,,,,1,1,1,2018,1,4,,,,,,,,,,4,,
"97-90-78-65","1000-001-03",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",8,1,2,2,5,1,,2,1,,,,,12,1,1,1,2,1,6,1,1,3,2,9,0,1,,,,,,,,1,12000,5000,10000,0,0,0,26000,,,,
"69-87-77-12","1000-001-06",1,1,2,2,1,1,,7,2,1,2,18,2005,,,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,4,,
"69-87-77-12","1000-001-06",2,1,1,,3,1,,8,2,1,2,24,2009,,,2,,,,,,,,,,,,,1,1,1,2009,3,4,,,,,,,,,,4,,1
