"interview__key","y5_hhid","itemcode","hh_j01","hh_j02_1","hh_j02_2","hh_j03_1","hh_j03_2","hh_j04","hh_j05_1","hh_j05_2","hh_j06_1","hh_j06_2","j1_selection"
"91-42-46-84","1009-001-01",101,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",102,1,2,750,2,750,1500,,0,,0,2
"91-42-46-84","1009-001-01",103,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",104,1,1,1.5,,0,,1,1.5,,0,2
"91-42-46-84","1009-001-01",105,1,1,1,,0,,,0,,0,2
"91-42-46-84","1009-001-01",106,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",107,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",109,1,1,1,1,1,1000,,0,,0,2
"91-42-46-84","1009-001-01",110,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",111,1,2,400,2,400,1500,,0,,0,2
"91-42-46-84","1009-001-01",112,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",201,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",202,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",203,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",204,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",205,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",206,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",207,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",301,1,1,1,1,1,2600,,0,,0,2
"91-42-46-84","1009-001-01",302,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",303,1,4,100,,0,,,0,4,100,2
"91-42-46-84","1009-001-01",401,1,1,2,,0,,1,2,,0,2
"91-42-46-84","1009-001-01",501,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",502,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",503,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",504,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",601,1,2,2500,2,2500,3000,,0,,0,2
"91-42-46-84","1009-001-01",602,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",603,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",701,1,2,1200,2,1200,1000,,0,,0,2
"91-42-46-84","1009-001-01",702,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",703,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",704,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",801,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",802,1,1,1,1,1,8000,,0,,0,2
"91-42-46-84","1009-001-01",803,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",804,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",805,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",806,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",807,1,5,5,,0,,5,5,,0,2
"91-42-46-84","1009-001-01",808,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",809,1,2,200,2,200,1000,,0,,0,2
"91-42-46-84","1009-001-01",810,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",901,1,3,7,,0,,3,7,,0,2
"91-42-46-84","1009-001-01",902,1,3,7,,0,,3,7,,0,2
"91-42-46-84","1009-001-01",903,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1001,1,3,1,3,1,5000,,0,,0,2
"91-42-46-84","1009-001-01",1002,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1003,1,2,250,2,250,250,,0,,0,2
"91-42-46-84","1009-001-01",1004,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1081,1,1,1,1,1,1600,,0,,0,2
"91-42-46-84","1009-001-01",1082,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1101,1,2,50,2,50,500,,0,,0,2
"91-42-46-84","1009-001-01",1102,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1103,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1104,1,4,1750,4,1750,2500,,0,,0,2
"91-42-46-84","1009-001-01",1105,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1106,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1107,2,,,,,,,,,,2
"91-42-46-84","1009-001-01",1108,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",101,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",102,1,1,2,1,2,2800,,0,,0,2
"49-38-79-42","1025-001-02",103,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",104,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",105,1,1,3,,0,,1,3,,0,2
"49-38-79-42","1025-001-02",106,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",107,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",109,1,2,450,2,450,1000,,0,,0,2
"49-38-79-42","1025-001-02",110,2,,,,,,,,,,2
"49-38-79-42","1025-001-02",111,2,,,,,,,,,,2
