"interview__key","y5_hhid","productid","lf08_01","lf08_02","lf08_03_1","lf08_03_2","lf08_04","lf08_05_1","lf08_05_2","lf08_06","lf08_07_a","lf08_07_c","lf08_08_1","lf08_08_2"
"39-26-37-98","1000-001-01",1,1,2,15,3,2,,,,,,,
"39-26-37-98","1000-001-01",2,2,,,,,,,,,,,
"39-26-37-98","1000-001-01",3,2,,,,,,,,,,,
"04-06-65-04","1000-001-02",1,,,,,,,,,,,,
"04-06-65-04","1000-001-02",2,,,,,,,,,,,,
"04-06-65-04","1000-001-02",3,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1,,,,,,,,,,,,
"97-90-78-65","1000-001-03",2,,,,,,,,,,,,
"97-90-78-65","1000-001-03",3,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1,1,1,12,3,1,3,3,750,2,1,2,
"69-87-77-12","1000-001-06",2,2,,,,,,,,,,,
"69-87-77-12","1000-001-06",3,2,,,,,,,,,,,
"48-07-72-07","1001-001-01",1,1,4,50,3,1,60,3,15000,4,1,2,
"48-07-72-07","1001-001-01",2,2,,,,,,,,,,,
"48-07-72-07","1001-001-01",3,2,,,,,,,,,,,
"87-35-70-53","1002-001-01",1,1,6,20,3,1,30,3,6000,16,1,2,3
"87-35-70-53","1002-001-01",2,2,,,,,,,,,,,
"87-35-70-53","1002-001-01",3,2,,,,,,,,,,,
"90-92-88-29","1003-001-01",1,1,4,50,3,1,60,3,21000,9,1,1,3
"90-92-88-29","1003-001-01",2,2,,,,,,,,,,,
"90-92-88-29","1003-001-01",3,2,,,,,,,,,,,
"16-34-22-80","1005-001-01",1,1,7,1050,3,1,600,3,150000,5,1,2,
"16-34-22-80","1005-001-01",2,2,,,,,,,,,,,
"16-34-22-80","1005-001-01",3,2,,,,,,,,,,,
"66-03-93-27","1006-001-01",1,1,12,25,3,1,180,3,54000,2,1,2,
"66-03-93-27","1006-001-01",2,2,,,,,,,,,,,
"66-03-93-27","1006-001-01",3,2,,,,,,,,,,,
"71-71-16-36","1006-001-03",1,,,,,,,,,,,,
"71-71-16-36","1006-001-03",2,,,,,,,,,,,,
"71-71-16-36","1006-001-03",3,,,,,,,,,,,,
"93-03-21-31","1006-001-04",1,1,1,58,2,2,,,,,,,
"93-03-21-31","1006-001-04",2,2,,,,,,,,,,,
"93-03-21-31","1006-001-04",3,2,,,,,,,,,,,
"64-95-83-64","1006-001-05",1,1,6,50,3,1,15,3,5000,9,1,1,2
"64-95-83-64","1006-001-05",2,2,,,,,,,,,,,
"64-95-83-64","1006-001-05",3,2,,,,,,,,,,,
"54-26-09-51","1007-001-01",1,1,12,10,3,1,26,3,7800,16,2,1,2
"54-26-09-51","1007-001-01",2,2,,,,,,,,,,,
"54-26-09-51","1007-001-01",3,2,,,,,,,,,,,
"91-42-46-84","1009-001-01",1,1,4,15,3,1,10,3,2500,5,1,1,2
"91-42-46-84","1009-001-01",2,2,,,,,,,,,,,
"91-42-46-84","1009-001-01",3,2,,,,,,,,,,,
"34-08-29-97","1019-001-01",1,,,,,,,,,,,,
"34-08-29-97","1019-001-01",2,,,,,,,,,,,,
"34-08-29-97","1019-001-01",3,,,,,,,,,,,,
"25-94-08-50","1020-001-01",1,,,,,,,,,,,,
"25-94-08-50","1020-001-01",2,,,,,,,,,,,,
"25-94-08-50","1020-001-01",3,,,,,,,,,,,,
"42-43-09-21","1021-001-01",1,,,,,,,,,,,,
"42-43-09-21","1021-001-01",2,,,,,,,,,,,,
"42-43-09-21","1021-001-01",3,,,,,,,,,,,,
"88-63-59-87","1022-001-01",1,,,,,,,,,,,,
"88-63-59-87","1022-001-01",2,,,,,,,,,,,,
"88-63-59-87","1022-001-01",3,,,,,,,,,,,,
"67-34-56-15","1023-001-01",1,,,,,,,,,,,,
"67-34-56-15","1023-001-01",2,,,,,,,,,,,,
"67-34-56-15","1023-001-01",3,,,,,,,,,,,,
"61-09-84-51","1024-001-01",1,,,,,,,,,,,,
"61-09-84-51","1024-001-01",2,,,,,,,,,,,,
"61-09-84-51","1024-001-01",3,,,,,,,,,,,,
"49-38-79-42","1025-001-02",1,,,,,,,,,,,,
"49-38-79-42","1025-001-02",2,,,,,,,,,,,,
"49-38-79-42","1025-001-02",3,,,,,,,,,,,,
"36-53-30-05","1038-001-02",1,,,,,,,,,,,,
"36-53-30-05","1038-001-02",2,,,,,,,,,,,,
"36-53-30-05","1038-001-02",3,,,,,,,,,,,,
"06-31-99-33","1039-001-01",1,,,,,,,,,,,,
"06-31-99-33","1039-001-01",2,,,,,,,,,,,,
"06-31-99-33","1039-001-01",3,,,,,,,,,,,,
"98-68-74-00","1041-001-01",1,2,,,,,,,,,,,
"98-68-74-00","1041-001-01",2,2,,,,,,,,,,,
"98-68-74-00","1041-001-01",3,2,,,,,,,,,,,
"86-53-32-92","1042-001-01",1,,,,,,,,,,,,
"86-53-32-92","1042-001-01",2,,,,,,,,,,,,
"86-53-32-92","1042-001-01",3,,,,,,,,,,,,
"59-59-99-49","1042-001-02",1,,,,,,,,,,,,
"59-59-99-49","1042-001-02",2,,,,,,,,,,,,
"59-59-99-49","1042-001-02",3,,,,,,,,,,,,
"68-38-43-94","1043-001-01",1,,,,,,,,,,,,
"68-38-43-94","1043-001-01",2,,,,,,,,,,,,
"68-38-43-94","1043-001-01",3,,,,,,,,,,,,
"51-52-11-49","1044-001-01",1,,,,,,,,,,,,
"51-52-11-49","1044-001-01",2,,,,,,,,,,,,
"51-52-11-49","1044-001-01",3,,,,,,,,,,,,
"36-76-76-33","1045-001-01",1,,,,,,,,,,,,
"36-76-76-33","1045-001-01",2,,,,,,,,,,,,
"36-76-76-33","1045-001-01",3,,,,,,,,,,,,
"68-51-31-95","1058-001-01",1,,,,,,,,,,,,
"68-51-31-95","1058-001-01",2,,,,,,,,,,,,
"68-51-31-95","1058-001-01",3,,,,,,,,,,,,
"71-14-80-87","1059-001-01",1,1,3,70,3,2,,,,,,,
"71-14-80-87","1059-001-01",2,2,,,,,,,,,,,
"71-14-80-87","1059-001-01",3,1,1,1,3,2,,,,,,,
"79-06-68-49","1059-001-03",1,1,3,40,3,2,,,,,,,
"79-06-68-49","1059-001-03",2,2,,,,,,,,,,,
"79-06-68-49","1059-001-03",3,2,,,,,,,,,,,
"71-40-42-06","1059-001-06",1,1,4,10,3,2,,,,,,,
"71-40-42-06","1059-001-06",2,2,,,,,,,,,,,
"71-40-42-06","1059-001-06",3,2,,,,,,,,,,,
"27-54-41-37","1060-001-01",1,2,,,,,,,,,,,
"27-54-41-37","1060-001-01",2,2,,,,,,,,,,,
"27-54-41-37","1060-001-01",3,2,,,,,,,,,,,
"50-50-37-47","1061-001-03",1,1,4,18,3,2,,,,,,,
"50-50-37-47","1061-001-03",2,2,,,,,,,,,,,
"50-50-37-47","1061-001-03",3,1,10,17,3,2,,,,,,,
"25-09-89-03","1062-001-01",1,1,12,30,3,1,60,3,12000,5,2,2,
"25-09-89-03","1062-001-01",2,2,,,,,,,,,,,
"25-09-89-03","1062-001-01",3,2,,,,,,,,,,,
"21-11-75-86","1063-001-01",1,1,5,18,3,2,,,,,,,
"21-11-75-86","1063-001-01",2,2,,,,,,,,,,,
