"UPI","y4_hhid","indidy4","y5_hhid","indidy5"
1,"8968-001",1,"8968-001-01",1
2,"8968-001",2,"8968-001-02",1
3,"8968-001",3,"8968-001-01",3
4,"8968-001",4,"8968-001-01",4
5,"8968-001",5,"8968-001-02",2
6,"8967-001",1,"8967-001-01",1
7,"8967-001",2,"8967-001-01",2
8,"8967-001",3,"8967-001-01",3
9,"8966-001",1,"8966-001-01",1
10,"8966-001",2,"8966-001-01",2
11,"8966-001",3,"8966-001-01",3
12,"8966-001",4,"8966-001-01",4
13,"8966-001",5,"8966-001-01",5
14,"8965-001",1,"8965-001-01",1
15,"8964-001",1,"8964-001-01",1
16,"8964-001",2,"8964-001-01",2
17,"8964-001",3,,
18,"8964-001",4,"8964-001-04",1
19,"8964-001",5,"8964-001-05",1
20,"8964-001",6,"8964-001-01",6
21,"8964-001",7,"8964-001-01",7
22,"8963-001",1,,
23,"8963-001",2,,
24,"8963-001",3,"8963-001-03",1
25,"8963-001",4,,
26,"8963-001",5,,
27,"8963-001",6,,
28,"8963-001",7,,
29,"8962-001",1,,
30,"8962-001",2,"8962-001-02",2
31,"8962-001",3,"8962-001-03",1
32,"8962-001",4,"8962-001-02",4
33,"8962-001",5,"8962-001-02",5
34,"8962-001",6,"8962-001-02",6
35,"8962-001",7,"8962-001-02",7
36,"8962-001",8,"8962-001-03",2
37,"8962-001",9,"8962-001-02",9
38,"8961-001",1,"8961-001-01",1
39,"8961-001",2,"8961-001-01",2
40,"8961-001",3,"8961-001-01",3
41,"8961-001",4,,
42,"8949-001",1,"8949-001-01",1
43,"8948-001",1,"8948-001-01",1
44,"8948-001",2,,
45,"8948-001",3,"8948-001-01",3
46,"8948-001",4,"8948-001-01",4
47,"8948-001",5,"8948-001-01",5
48,"8948-001",6,"8948-001-01",6
49,"8947-001",1,"8947-001-01",1
50,"8946-001",1,"8946-001-01",1
51,"8946-001",2,"8946-001-01",2
52,"8946-001",3,,
53,"8946-001",4,"8946-001-04",2
54,"8946-001",5,"8946-001-01",5
55,"8945-001",1,"8945-001-01",1
56,"8945-001",2,"8945-001-01",2
57,"8945-001",3,"8945-001-01",3
58,"8944-001",1,"8944-001-01",1
59,"8944-001",2,"8944-001-01",2
60,"8944-001",3,"8944-001-01",3
61,"8944-001",4,"8944-001-01",4
62,"8944-001",5,"8944-001-01",5
63,"8944-001",6,"8944-001-01",6
64,"8944-001",7,"8944-001-01",7
65,"8944-001",8,"8944-001-01",8
66,"8943-001",1,,
67,"8943-001",2,,
68,"8943-001",3,,
69,"8943-001",4,,
70,"8943-001",5,,
71,"8943-001",6,,
72,"8942-001",1,"8942-001-01",1
73,"8942-001",2,"8942-001-01",2
74,"8942-001",3,"8942-001-01",3
75,"8942-001",4,"8942-001-01",4
76,"8942-001",5,"8942-001-01",5
77,"8942-001",6,"8942-001-01",6
78,"8942-001",7,"8942-001-01",7
79,"8942-001",8,,
80,"8930-001",1,"8930-001-01",1
81,"8930-001",2,"8930-001-01",2
82,"8929-001",1,"8929-001-01",1
83,"8929-001",2,"8929-001-01",2
84,"8929-001",3,"8929-001-03",1
85,"8929-001",4,"8929-001-01",4
86,"8929-001",5,"8929-001-03",2
